,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11818213.5,13933.0,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12227134.0,13942.0,877.0,11177420.0,13631.0,820.0,11492300.0,14015.0,820.0,12376000.0,14144.0,875.0,,-0.006722237556012645,-0.006878363448447944
2020-11-15,11898196.0,14029.5,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12371839.0,14107.0,877.0,11310260.0,13793.0,820.0,11630060.0,14183.0,820.0,12280625.0,14035.0,875.0,,-0.03036286205877803,-0.030358531317494553
2020-10-15,12270771.75,14468.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12761227.0,14551.0,877.0,11634160.0,14188.0,820.0,12021200.0,14660.0,820.0,12666500.0,14476.0,875.0,,0.02245216227845015,0.022508436246709396
2020-9-15,12001316.25,14150.25,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12457785.0,14205.0,877.0,11358640.0,13852.0,820.0,11735840.0,14312.0,820.0,12453000.0,14232.0,875.0,,0.03461509233551974,0.03462079806971685
2020-8-15,11599788.5,13676.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12042964.0,13732.0,877.0,10973240.0,13382.0,820.0,11344700.0,13835.0,820.0,12038250.0,13758.0,875.0,,-0.059972574199804285,-0.06000103094554887
2020-7-15,12339840.5,14549.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12800692.0,14596.0,877.0,11552980.0,14089.0,820.0,12211440.0,14892.0,820.0,12794250.0,14622.0,875.0,,0.03529423658553532,0.03529307124432979
2020-6-15,11919162.75,14053.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12363946.0,14098.0,877.0,11159380.0,13609.0,820.0,11795700.0,14385.0,820.0,12357625.0,14123.0,875.0,,-0.01304585032496941,-0.013044699603216414
2020-5-15,12076713.75,14239.5,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12527945.0,14285.0,877.0,11306980.0,13789.0,820.0,11950680.0,14574.0,820.0,12521250.0,14310.0,875.0,,0.0752830620428191,0.07522700243520286
2020-4-15,11231195.0,13243.25,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",11598325.0,13225.0,877.0,10532900.0,12845.0,820.0,11130680.0,13574.0,820.0,11662875.0,13329.0,875.0,,-0.07919502660806332,-0.07919484086286921
2020-3-15,12197148.5,14382.25,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12595474.0,14362.0,877.0,11439820.0,13951.0,820.0,12086800.0,14740.0,820.0,12666500.0,14476.0,875.0,,-0.0380903348518038,-0.038089186884478377
2020-2-15,12680139.25,14951.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13094487.0,14931.0,877.0,11893280.0,14504.0,820.0,12564040.0,15322.0,820.0,13168750.0,15050.0,875.0,,0.07058135327384596,0.07058212802520414
2020-1-15,11844162.25,13966.0,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12231519.0,13947.0,877.0,11109360.0,13548.0,820.0,11735020.0,14311.0,820.0,12300750.0,14058.0,875.0,,-0.007516197924066437,-0.007515056762662731
2019-12-15,11933859.5,14071.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12325358.0,14054.0,877.0,11194640.0,13652.0,820.0,11821940.0,14417.0,820.0,12393500.0,14164.0,875.0,,-0.05836986115269738,-0.05836790685224835
2019-11-15,12673616.75,14944.0,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13090102.0,14926.0,877.0,11888360.0,14498.0,820.0,12553380.0,15309.0,820.0,13162625.0,15043.0,875.0,,0.04529017030295179,0.04529080544189146
2019-10-15,12124496.25,14296.5,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12523560.0,14280.0,877.0,11374220.0,13871.0,820.0,12008080.0,14644.0,820.0,12592125.0,14391.0,875.0,,-0.057675199788444154,-0.05767392808885086
2019-9-15,12866578.75,15171.5,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13290935.0,15155.0,877.0,12070400.0,14720.0,820.0,12741980.0,15539.0,820.0,13363000.0,15272.0,875.0,,0.041497468546881855,0.04149790622640204
2019-8-15,12353922.25,14567.0,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12762104.0,14552.0,877.0,11590700.0,14135.0,820.0,12232760.0,14918.0,820.0,12830125.0,14663.0,875.0,,-0.03560297685489178,-0.03560138367069965
2019-7-15,12809996.25,15104.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13233930.0,15090.0,877.0,12018740.0,14657.0,820.0,12682940.0,15467.0,820.0,13304375.0,15205.0,875.0,,0.08448654245778764,0.08448808156232057
