,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5417343.46383452,6930.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",5417343.46383452,6930.0,773.0,,-0.011694404394234748,0.0774253731343284
2020-11-15,5481445.706592455,6432.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",5481445.706592455,6432.0,773.0,,-0.030485017085418953,0.0010894941634240762
2020-10-15,5653801.955812989,6425.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",5653801.955812989,6425.0,773.0,,0.02425233216492262,0.020813473149030814
2020-9-15,5519930.761458718,6294.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",5519930.761458718,6294.0,773.0,,,
2020-8-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2020-7-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2020-6-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2020-5-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2020-4-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2020-3-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2020-2-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2020-1-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-12-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-11-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-10-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-9-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-8-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-7-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-6-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-5-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-4-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-3-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-2-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2019-1-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-12-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-11-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-10-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-9-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-8-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-7-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-6-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-5-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-4-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-3-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2018-2-15,5378534.0,6958.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",5378534.0,6958.0,773.0,,0.01874084919472918,0.01874084919472918
2018-1-15,5279590.0,6830.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",5279590.0,6830.0,773.0,,-0.01443001443001446,-0.01443001443001446
2017-12-15,5356890.0,6930.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",5356890.0,6930.0,773.0,,0.0774253731343284,0.0774253731343284
2017-11-15,4971936.0,6432.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",4971936.0,6432.0,773.0,,0.0010894941634240762,0.0010894941634240762
2017-10-15,4966525.0,6425.0,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",4966525.0,6425.0,773.0,,,
2017-9-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2017-8-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2017-7-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2017-6-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2017-5-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2017-4-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2017-3-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2017-2-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2017-1-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2016-12-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2016-11-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2016-10-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2016-9-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2016-8-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2016-7-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2016-6-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
2016-5-15,,,"TMT222(Block E3),TAI MEI TUK|TMT222E3座,大尾督",,,773.0,,,
