,A,B,C,D,E,F,G,J,K
5.0,15231888,14792830,9382885,9922910,9143574,8807868,9283360,7367981,7648698
10.0,15931440,15476583,9687820,9635895,9585510,9753498,9527480,7862295,7942461
16.0,16716672,16259022,9783857,9729740,10094964,10621629,9962680,8202910,8369259
