,A1,A2,A3,A5,A6,B1,B2,B3,B5,B6
4.0,16824,16762,18262,17415,18592,17644,16693,16819,17248,17093
10.0,18193,17729,18328,17840,19396,18338,18040,17139,17927,17787
17.0,22513,19300,18840,18635,20291,19598,21714,17721,17886,17869
