,A1,A2,A3,A5,A6,B1,B2,B3,B5
4.0,15076316,7773948,6395085,8169223,12648960,5150118,10324325,6126120,8410628
10.0,15592873,8436580,6563487,9003197,13854564,5404743,11257235,6163962,8544072
17.0,18638602,8823944,6833235,9222505,14915964,5696034,13380785,6640557,8564180
