,A1,A2,A3,A5,A6,B1,B2,B3,B5,B6
4.0,14317224,7576424,6957822,8759745,13609344,5134404,10065879,7433998,7778848,7657664
10.0,15482243,8013508,6982968,8973520,14197872,5336358,10878120,7575438,8085077,7968576
17.0,19158563,8723600,7178040,9373405,14853012,5703018,13093542,7832682,8066586,8005312
