,A,B,C,D,E,F,G,H,J
5.0,5785713,8477346,4965984,6487840,7710060,8325900,8299104,4642808,5775840
10.0,5778933,8564019,5034612,6550104,7807908,8272935,8337648,4795824,5598768
18.0,6087423,9066411,5260878,6818424,8193411,8604585,9035664,4857576,6025152
