,A1,A2,A3,A5,B1,B2,B3,B5
5.0,19546,18703,17951,16770,18238,17718,17402,17248
10.0,20345,19440,18492,17866,19085,17810,17693,17693
18.0,21906,20664,20026,19843,23167,18784,18644,18791
