,A,B,C,D,F,G,H,J
4.0,16396,16186,17565,17250,14797,14903,15125,16231
10.0,16863,16463,18215,18018,15024,15501,15347,16433
16.0,17684,17012,18435,18551,15260,15811,15903,16513
