,A,B,C,D,E,F,G,H,J
6.0,18994,16598,17764,18223,17762,15068,16855,21858,19312
10.0,19360,16793,17544,18679,17753,15270,17500,22428,19684
17.0,19863,17917,17625,19421,18231,15864,17710,22487,20425
