,A,B,C,D,F,G,H,J
4.0,11706744,5697472,5234370,10332750,6747432,6870283,7744000,5551002
10.0,12040182,5794976,5428070,10792782,6850944,7145961,7857664,5620086
16.0,12626376,5988224,5493630,11112049,6958560,7288871,8142336,5647446
