,A1,A2,A3,A5,B1,B2,B3,B5
5.0,18627338,17431196,11327081,11973780,15629966,6094992,8701000,8641248
10.0,19388785,18118080,11668452,12756324,16355845,6126640,8846500,8864193
18.0,20876418,19258848,12576328,14167902,19854119,6461696,9322000,9414291
