,A1,A2,A3,A5,A6,B2,B3
4.0,6590052,7397208,8336390,8805138,8257027,12118548,4710992
9.0,6842087,8045388,8577030,9082524,8389655,12579930,4856116
16.0,7564082,9285588,8905560,9565086,8665652,13090044,5108308
