,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,2765752.0,4664.0,25-31 SOY ST|25-31 豉油街,2765752.0,4664.0,593.0,,-0.05587044534412955,-0.05587044534412955
2020-11-15,2929420.0,4940.0,25-31 SOY ST|25-31 豉油街,2929420.0,4940.0,593.0,,0.00365704997968308,0.00365704997968308
2020-10-15,2918746.0,4922.0,25-31 SOY ST|25-31 豉油街,2918746.0,4922.0,593.0,,-0.024380574826560975,-0.024380574826560975
2020-9-15,2991685.0,5045.0,25-31 SOY ST|25-31 豉油街,2991685.0,5045.0,593.0,,-0.036110049675200595,-0.036110049675200595
2020-8-15,3103762.0,5234.0,25-31 SOY ST|25-31 豉油街,3103762.0,5234.0,593.0,,0.07518488085456032,0.07518488085456032
2020-7-15,2886724.0,4868.0,25-31 SOY ST|25-31 豉油街,2886724.0,4868.0,593.0,,0.005785123966942196,0.005785123966942196
2020-6-15,2870120.0,4840.0,25-31 SOY ST|25-31 豉油街,2870120.0,4840.0,593.0,,-0.04799370574350903,-0.04799370574350903
2020-5-15,3014812.0,5084.0,25-31 SOY ST|25-31 豉油街,3014812.0,5084.0,593.0,,-0.009546074420416883,-0.009546074420416883
2020-4-15,3043869.0,5133.0,25-31 SOY ST|25-31 豉油街,3043869.0,5133.0,593.0,,0.03383685800604219,0.03383685800604219
2020-3-15,2944245.0,4965.0,25-31 SOY ST|25-31 豉油街,2944245.0,4965.0,593.0,,0.045703454085930906,0.045703454085930906
2020-2-15,2815564.0,4748.0,25-31 SOY ST|25-31 豉油街,2815564.0,4748.0,593.0,,-0.0282439623413836,-0.0282439623413836
2020-1-15,2897398.0,4886.0,25-31 SOY ST|25-31 豉油街,2897398.0,4886.0,593.0,,-0.03515007898894151,-0.03515007898894151
2019-12-15,3002952.0,5064.0,25-31 SOY ST|25-31 豉油街,3002952.0,5064.0,593.0,,-0.034324942791762014,-0.034324942791762014
2019-11-15,3109692.0,5244.0,25-31 SOY ST|25-31 豉油街,3109692.0,5244.0,593.0,,0.08168316831683176,0.08168316831683176
2019-10-15,2874864.0,4848.0,25-31 SOY ST|25-31 豉油街,2874864.0,4848.0,593.0,,-0.06228239845261119,-0.06228239845261119
2019-9-15,3065810.0,5170.0,25-31 SOY ST|25-31 豉油街,3065810.0,5170.0,593.0,,-0.04383206953948582,-0.04383206953948582
2019-8-15,3206351.0,5407.0,25-31 SOY ST|25-31 豉油街,3206351.0,5407.0,593.0,,0.03305311425296131,0.03305311425296131
2019-7-15,3103762.0,5234.0,25-31 SOY ST|25-31 豉油街,3103762.0,5234.0,593.0,,-0.000763650248186365,-0.000763650248186365
2019-6-15,3106134.0,5238.0,25-31 SOY ST|25-31 豉油街,3106134.0,5238.0,593.0,,0.0059535241021702046,0.0059535241021702046
2019-5-15,3087751.0,5207.0,25-31 SOY ST|25-31 豉油街,3087751.0,5207.0,593.0,,,
2019-4-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2019-3-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2019-2-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2019-1-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-12-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-11-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-10-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-9-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-8-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-7-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-6-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-5-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-4-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-3-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-2-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2018-1-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-12-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-11-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-10-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-9-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-8-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-7-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-6-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-5-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-4-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-3-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-2-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2017-1-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2016-12-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2016-11-15,5444332.999999999,9181.0,25-31 SOY ST|25-31 豉油街,5444332.999999999,9181.0,593.0,,0.06397033259937412,0.06397033259937412
2016-10-15,5116997.0,8629.0,25-31 SOY ST|25-31 豉油街,5116997.0,8629.0,593.0,,0.03316570881226055,0.03316570881226055
2016-9-15,4952736.0,8352.0,25-31 SOY ST|25-31 豉油街,4952736.0,8352.0,593.0,,-0.006069260978222024,-0.006069260978222024
2016-8-15,4982979.0,8403.0,25-31 SOY ST|25-31 豉油街,4982979.0,8403.0,593.0,,0.007674781148818699,0.007674781148818699
2016-7-15,4945027.0,8339.0,25-31 SOY ST|25-31 豉油街,4945027.0,8339.0,593.0,,0.013121127445024916,0.013121127445024916
2016-6-15,4880983.0,8231.0,25-31 SOY ST|25-31 豉油街,4880983.0,8231.0,593.0,,0.020076837278473203,0.020076837278473203
2016-5-15,4784917.0,8069.0,25-31 SOY ST|25-31 豉油街,4784917.0,8069.0,593.0,,,
2016-4-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2016-3-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2016-2-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,,,
2016-1-15,,,25-31 SOY ST|25-31 豉油街,,,593.0,593.0,,
