,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4856526.0,9146.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",4856526.0,9146.0,531.0,,-0.05594549958711803,-0.05594549958711803
2020-11-15,5144328.0,9688.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5144328.0,9688.0,531.0,,0.0038337996062585145,0.0038337996062585145
2020-10-15,5124681.0,9651.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5124681.0,9651.0,531.0,,-0.024560339599757453,-0.024560339599757453
2020-9-15,5253714.0,9894.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5253714.0,9894.0,531.0,,-0.036142230881636594,-0.036142230881636594
2020-8-15,5450715.0,10265.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5450715.0,10265.0,531.0,,0.07520687126846126,0.07520687126846126
2020-7-15,5069457.0,9547.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5069457.0,9547.0,531.0,,0.005794353139485953,0.005794353139485953
2020-6-15,5040252.0,9492.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5040252.0,9492.0,531.0,,-0.047943831494483446,-0.047943831494483446
2020-5-15,5294070.0,9970.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5294070.0,9970.0,531.0,,-0.00963544253501536,-0.00963544253501536
2020-4-15,5345577.0,10067.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5345577.0,10067.0,531.0,,0.033891342302557304,0.033891342302557304
2020-3-15,5170347.0,9737.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5170347.0,9737.0,531.0,,0.04575233594672978,0.04575233594672978
2020-2-15,4944141.0,9311.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",4944141.0,9311.0,531.0,,-0.028180774449431123,-0.028180774449431123
