,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,33757032.0,20639.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33178560.0,20544.0,1615.0,34335504.0,20734.0,1656.0,,-0.01407021552958998,-0.014068359328349267
2020-11-15,34238779.0,20933.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33646910.0,20834.0,1615.0,34830648.0,21033.0,1656.0,,0.024116684311175307,0.024118783787089315
2020-10-15,33432498.0,20440.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32849100.0,20340.0,1615.0,34015896.0,20541.0,1656.0,,-0.04251210699945385,-0.04250983698707134
2020-9-15,34916888.5,21348.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",34300985.0,21239.0,1615.0,35532792.0,21457.0,1656.0,,0.03867165676065287,0.0388826706895713
2020-8-15,33616868.5,20549.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32479265.0,20111.0,1615.0,34754472.0,20987.0,1656.0,,0.0024384902937575337,0.002439143372847452
2020-7-15,33535093.5,20499.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32398515.0,20061.0,1615.0,34671672.0,20937.0,1656.0,,-0.0025062648068548965,-0.0025060217512955507
2020-6-15,33619352.5,20550.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32479265.0,20111.0,1615.0,34759440.0,20990.0,1656.0,,-0.024251842953705194,-0.024378085833649865
2020-5-15,34454948.5,21064.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33642065.0,20831.0,1615.0,35267832.0,21297.0,1656.0,,-0.0028877663638249285,-0.0028875739644970144
2020-4-15,34554734.5,21125.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33738965.0,20891.0,1615.0,35370504.0,21359.0,1656.0,,0.029057096966676355,0.029057164429938886
2020-3-15,33579025.5,20528.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32786115.0,20301.0,1615.0,34371936.0,20756.0,1656.0,,-0.003301681257431688,-0.0033015318136576655
2020-2-15,33690260.0,20596.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32894320.0,20368.0,1615.0,34486200.0,20825.0,1656.0,,-0.0071824886023941215,-0.007182280494565041
2020-1-15,33933990.5,20745.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33131725.0,20515.0,1615.0,34736256.0,20976.0,1656.0,,0.007063035340892032,0.007063106796116436
2019-12-15,33695994.5,20600.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32899165.0,20371.0,1615.0,34492824.0,20829.0,1656.0,,-0.024159357791569414,-0.02415916627190906
2019-11-15,34530222.5,21110.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33713125.0,20875.0,1615.0,35347320.0,21345.0,1656.0,,0.006988258090973032,0.006988336871228462
2019-10-15,34290591.0,20963.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33478950.0,20730.0,1615.0,35102232.0,21197.0,1656.0,,0.00698907087697731,0.006989144009991399
2019-9-15,34052595.0,20818.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33246390.0,20586.0,1615.0,34858800.0,21050.0,1656.0,,-0.01669730097336808,-0.01669697470656306
2019-8-15,34630836.5,21171.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33810025.0,20935.0,1615.0,35451648.0,21408.0,1656.0,,-0.013006622571292148,-0.01300668982075015
2019-7-15,35087202.5,21450.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",34255765.0,21211.0,1615.0,35918640.0,21690.0,1656.0,,0.10149389738168257,0.10149430009243088
2019-6-15,31854196.0,19474.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",31098440.0,19256.0,1615.0,32609952.0,19692.0,1656.0,,-0.050465889320756574,-0.05046564922716856
2019-5-15,33547184.5,20509.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32750585.0,20279.0,1615.0,34343784.0,20739.0,1656.0,,-0.035710077755885195,-0.03571008768836548
2019-4-15,34789521.0,21268.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33963450.0,21030.0,1615.0,35615592.0,21507.0,1656.0,,0.008487631673910645,0.008487636027407097
2019-3-15,34496725.5,21089.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33677595.0,20853.0,1615.0,35315856.0,21326.0,1656.0,,0.055741898936629175,0.05574189026832199
2019-2-15,32675340.0,19976.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",31899480.0,19752.0,1615.0,33451200.0,20200.0,1656.0,,-0.015184714162108315,-0.015184381778741818
2019-1-15,33179156.0,20284.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32390440.0,20056.0,1615.0,33967872.0,20512.0,1656.0,,0.01965490134349701,0.01965515507967619
2018-12-15,32539593.5,19893.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",31765435.0,19669.0,1615.0,33313752.0,20117.0,1656.0,,-0.023105186916927423,-0.023105065435706007
2018-11-15,33309209.0,20363.5,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32516410.0,20134.0,1615.0,34102008.0,20593.0,1656.0,,,
2018-10-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-9-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-8-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-7-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-6-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-5-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-4-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-3-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-2-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2018-1-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-12-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-11-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-10-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-9-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-8-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-7-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-6-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
