,A,B,C,D,E,F,G,H,J,K,L
10.0,21123,20923,20735,21927,21496,16671,20204,21164,20163,21355,21204
19.0,23053,22528,21648,22052,20332,20823,20103,21303,21562,20751,22868
27.0,23124,21673,21931,22085,21534,20590,19681,21821,23321,23253,22241
