,A,AB,B,C,D,E,F,G,H
5.0,10877484,15738099,7695324,7431714,9832896,9938848,7130464,7079798,10860211
13.0,11456505,16589736,8088912,7587792,10330320,10529152,7605587,7565778,11441485
21.0,12067819,17482109,8308674,8313894,10899296,11259120,8044003,7936984,12051297
