,A,AB,B,C,D,E,F,G,H
5.0,11014917,14646668,7170790,7378624,9744832,9540496,7041540,7054982,11014917
14.0,11470023,15617956,7605070,7838237,10100528,10126672,7467548,7492364,11470023
23.0,10893255,16618408,8040384,6708075,9861792,9892752,7899760,8017636,10893255
