,A,B,C,D,E,F,G,H,J
10.0,22155,22063,22139,21641,22638,20440,20264,20087,20495
19.0,21408,21346,23037,23870,23045,19114,20466,19980,21206
27.0,22915,22909,23080,24402,23766,19638,19313,20067,21596
