,1,10,14,15,18,2,20,24,3,4A,5C,7
9.0,2231136,2838301,2852920,2852920,2913168,2852920,3116000,2231136,2914497,,,2841402
18.0,2350770,2999996,3015501,3015501,3081508,3015501,3294125,2349627,3085052,,,3008413
28.0,2472309,3170994,3188271,3188271,3064231,3188271,3483175,2470785,3264467,,,3181183
