,A,B,C,D,E,F,G,H,J,K,L
10.0,262,262,265,259,374,201,208,261,291,275,265
19.0,262,262,265,259,374,201,208,261,291,275,265
27.0,262,262,265,259,374,201,208,261,291,275,265
