,A,B,C,D,E,F,G,H
5.0,12679,13756,13675,14308,13597,13646,13532,12779
14.0,13403,14507,14418,13030,13094,14388,14259,13407
23.0,14306,15251,15159,13699,13774,15127,14999,14098
