,A,A & B,B,C,C & D,D,E,EF,F,G,GH,H
5.0,751,1273,522,522,1210,688,688,1205,517,517,1268,751
14.0,751,1273,522,522,1210,688,688,1205,517,517,1268,751
23.0,751,1273,522,522,1210,688,688,1205,517,517,1268,751
