,A,B,C,D,E,F,G,GH,H
5.0,14385,14601,14024,14697,14524,14637,14520,12544,14895
13.0,15070,14865,14658,15377,15287,14687,15161,13105,15583
21.0,15679,15441,14862,15777,15985,14993,15502,13661,16243
