,A,B,C,D,F,G,H
2.0,5649936,5684656,5014685,4786686,4677534,4786686,4786686
4.0,5715904,5750624,4869007,4841854,4731678,4841854,4841854
7.0,5814112,5849824,4953052,4925468,4813317,4925468,4925468
