,A,B,C,D,E,F,G,H,whole floor
3.0,3633400,3639320,3983734,3602320,3283392,3620088,3713306,3149684,3422580
6.0,3694820,4056624,3702220,3662260,3208496,3681744,3777898,3158640,3441024
8.0,3735520,3741070,3755130,3702220,3283608,3746703,3643209,3193736,3478608
