,A,B,C,D,E,F,G,GH,H
5.0,9898931,6719966,7186817,9016928,8837360,7259197,6883855,13032504,9898931
14.0,10540285,7167171,7385862,9468944,9350608,7842890,7339332,13883332,10540285
23.0,11177884,7611274,7671763,10041360,9916144,8066234,7805149,14732892,11177884
