,A,B,C,D,E,F,G,H,whole floor
3.0,9820,9836,10111,9736,9772,9864,10118,9487,9835
6.0,9986,10296,10006,9898,9782,10032,10294,9630,9888
8.0,10096,10111,10149,10006,10011,10209,9927,9737,9996
