,A,B,C,D,E,F,G,H
3.0,10144,10144,9719,9719,10927,10176,9719,10406
5.0,10263,10263,9832,9832,10250,10295,9832,9832
7.0,10381,10381,9945,9945,10368,10818,9945,9945
