,A,B,C,D,E,F,G,GH,H
5.0,10803135,7548717,7250408,10111536,9992512,7567329,7506840,15905792,11186145
13.0,11317570,7685205,7578186,10579376,10517456,7593179,7838237,16617140,11702833
21.0,11774929,7982997,7683654,10854576,10997680,7751381,8014534,17322148,12198493
