,A,AB,B,C,D,E,F,G,H
5.0,14484,12363,14742,14237,14292,14446,13792,13694,14461
13.0,15255,13032,15496,14536,15015,15304,14711,14634,15235
21.0,16069,13733,15917,15927,15842,16365,15559,15352,16047
