,A,B,C,D,E,F,G,H,J
10.0,7931490,5957010,5778279,8180298,5976432,5886720,5572600,5684621,5697610
19.0,7664064,5763420,6012657,9022860,6083880,5504832,5628150,5654340,5895268
27.0,8203570,6185430,6023880,9223956,6274224,5655744,5311075,5678961,6003688
