,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6879599.0,17098.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6894315.0,17023.0,405.0,7237157.0,16561.0,437.0,6820332.0,16966.0,402.0,6566592.0,17844.0,368.0,,0.0009088360050222288,0.0009219827018482896
2020-11-15,6873352.25,17082.75,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6925095.0,17099.0,405.0,7196516.0,16468.0,437.0,6841638.0,17019.0,402.0,6530160.000000001,17745.0,368.0,,-0.01244133707555728,-0.012443635102323936
2020-10-15,6959943.25,17298.0,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7012575.000000001,17315.0,405.0,7286538.0,16674.0,437.0,6928068.0,17234.0,402.0,6612592.000000001,17969.0,368.0,,0.013998908121152231,0.013995339771678106
2020-9-15,6863856.75,17059.25,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6916185.000000001,17077.0,405.0,7185154.0,16442.0,437.0,6832392.0,16996.0,402.0,6521696.0,17722.0,368.0,,-0.011534747460506423,-0.011774076755973972
2020-8-15,6943953.5,17262.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7017840.0,17328.0,405.0,7207004.0,16492.0,437.0,6932490.0,17245.0,402.0,6618480.0,17985.0,368.0,,-0.011969702952194239,-0.011835081643459255
2020-7-15,7028077.5,17469.25,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7081830.0,17486.0,405.0,7339852.0,16796.0,437.0,6995604.0,17402.0,402.0,6695024.0,18193.0,368.0,,0.011956666039840247,0.011962172886706979
2020-6-15,6945038.0,17262.75,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6997590.0,17278.0,405.0,7254200.0,16600.0,437.0,6913194.0,17197.0,402.0,6615168.0,17976.0,368.0,,-0.00045439857206086565,-0.00044874207463596605
2020-5-15,6948195.25,17270.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7000425.0,17285.0,405.0,7258570.0,16610.0,437.0,6916410.0,17205.0,402.0,6617376.000000001,17982.0,368.0,,0.023769293854786877,0.023770710453777433
2020-4-15,6786876.0,16869.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6837615.0,16883.0,405.0,7090325.0,16225.0,437.0,6756012.000000001,16806.0,402.0,6463552.0,17564.0,368.0,,-0.003350811358043382,-0.0033527804445757647
2020-3-15,6809694.0,16926.25,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6855030.0,16926.0,405.0,7116108.0,16284.0,437.0,6780534.0,16867.0,402.0,6487104.0,17628.0,368.0,,0.021700904624773365,0.02170009205185086
2020-2-15,6665056.25,16566.75,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6709230.0,16566.0,405.0,6964469.0,15937.0,437.0,6637422.000000001,16511.0,402.0,6349104.0,17253.0,368.0,,-0.01419313257825705,-0.014191993573436923
2020-1-15,6761016.25,16805.25,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6805620.0,16804.0,405.0,7064979.0,16167.0,437.0,6733098.0,16749.0,402.0,6440368.0,17501.0,368.0,,0.027907171737166614,0.027906905621138955
2019-12-15,6577458.0,16349.0,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6620940.0,16348.0,405.0,6873136.0,15728.0,437.0,6550188.0,16294.0,402.0,6265568.0,17026.0,368.0,,-0.050331077780041755,-0.0503325491562836
2019-11-15,6926053.75,17215.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6971670.0,17214.0,405.0,7237157.0,16561.0,437.0,6897516.0,17158.0,402.0,6597872.0,17929.0,368.0,,0.04785597977348055,0.04785671896160815
2019-10-15,6609738.25,16429.25,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6653340.0,16428.0,405.0,6906785.0,15805.0,437.0,6582348.0,16374.0,402.0,6296480.0,17110.0,368.0,,-0.0165069332311214,-0.016507033822208972
2019-9-15,6720676.0,16705.0,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6765120.000000001,16704.0,405.0,7022590.0,16070.0,437.0,6692898.0,16649.0,402.0,6402096.0,17397.0,368.0,,-0.037951328740800316,-0.03795208477309375
2019-8-15,6985796.25,17364.0,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7032015.0,17363.0,405.0,7299648.0,16704.0,437.0,6956610.0,17305.0,402.0,6654912.0,18084.0,368.0,,0.002757304159220819,0.0027575254457519183
2019-7-15,6966587.25,17316.25,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7012575.0,17315.0,405.0,7279546.0,16658.0,437.0,6937716.0,17258.0,402.0,6636512.0,18034.0,368.0,,0.0019814649054508138,0.001981830806619511
2019-6-15,6952810.5,17282.0,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6998805.0,17281.0,405.0,7265125.000000001,16625.0,437.0,6924048.0,17224.0,402.0,6623264.0,17998.0,368.0,,-0.013950156254088464,-0.013936238499393738
2019-5-15,7051175.5,17526.25,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7133670.0,17614.0,405.0,7330238.0,16774.0,437.0,7057914.0,17557.0,402.0,6682880.0,18160.0,368.0,,0.020775728986518693,0.02098625189327752
2019-4-15,6907663.75,17166.0,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6970455.0,17211.0,405.0,7234098.0,16554.0,437.0,6896310.0,17155.0,402.0,6529792.0,17744.0,368.0,,0.03731438875999826,0.03731456023204527
2019-3-15,6659180.5,16548.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6719355.0,16591.0,405.0,6974083.0,15959.0,437.0,6648276.0,16538.0,402.0,6295007.999999999,17106.0,368.0,,0.000392582227723981,0.0005441518788356081
2019-2-15,6656567.25,16539.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6740010.0,16642.0,405.0,6999429.0,16017.0,437.0,6611694.0,16447.0,402.0,6275136.0,17052.0,368.0,,0.026929850554405776,0.02669232440485425
2019-1-15,6482007.75,16109.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6565455.0,16211.0,405.0,6807586.0,15578.0,437.0,6386574.0,15887.0,402.0,6168416.0,16762.0,368.0,,0.04083268281368424,0.04083346793732834
2018-12-15,6227713.5,15477.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6307875.0,15575.0,405.0,6540579.0,14967.0,437.0,6136128.000000001,15264.0,402.0,5926272.0,16104.0,368.0,,-0.03532367905254141,-0.03532418156037209
2018-11-15,6455754.5,16044.25,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6538725.0,16145.0,405.0,6780055.0,15515.0,437.0,6360846.0,15823.0,402.0,6143392.0,16694.0,368.0,,,
2018-10-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-9-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-8-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-7-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-6-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-5-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-4-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-3-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-2-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2018-1-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-12-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-11-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-10-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-9-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-8-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
