,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,10961594.4,14679.4,5,54807972.0,73397.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",16498550.0,15550.0,1061.0,12817505.0,15727.0,815.0,11113290.999999998,13909.0,799.0,7446537.999999999,13739.0,542.0,6932088.0,14472.0,479.0,-0.04990069439383571,-0.04988932182107686
2019-11-15,11537314.4,15450.2,5,57686572.0,77251.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",17368570.0,16370.0,1061.0,13488250.0,16550.0,815.0,11695761.999999998,14638.0,799.0,7837862.0,14461.0,542.0,7296128.0,15232.0,479.0,0.04750091541476764,0.047513797171410355
2019-10-15,11014133.0,14749.4,5,55070665.0,73747.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",16584491.0,15631.0,1061.0,12874555.0,15797.0,815.0,11163628.0,13972.0,799.0,7482852.0,13806.0,542.0,6965139.0,14541.0,479.0,-0.017131720874133616,-0.017126026228808988
2019-9-15,11206113.0,15006.4,5,56030565.0,75032.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",16876266.0,15906.0,1061.0,13096235.0,16069.0,815.0,11357785.0,14215.0,799.0,7613474.0,14047.0,542.0,7086805.0,14795.0,479.0,-0.03770945559000072,-0.03769350143001893
2019-8-15,11645249.0,15594.2,5,58226245.0,77971.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",17541513.0,16533.0,1061.0,13607240.0,16696.0,815.0,11801230.0,14770.0,799.0,7912116.0,14598.0,542.0,7364146.000000001,15374.0,479.0,0.003976368358631355,0.003991707549477752
2019-7-15,11599126.6,15532.2,5,57995633.0,77661.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",17475731.0,16471.0,1061.0,13551004.999999998,16627.0,815.0,11753290.0,14710.0,799.0,7880680.0,14540.0,542.0,7334927.0,15313.0,479.0,0.004713152458528436,0.004722107224177208
2019-6-15,11544714.6,15459.2,5,57723573.0,77296.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",17397217.0,16397.0,1061.0,13484990.0,16546.0,815.0,11696561.0,14639.0,799.0,7844366.0,14473.0,542.0,7300438.999999999,15241.0,479.0,-0.011503659033847757,-0.011496898778694198
2019-5-15,11679066.6,15639.0,5,58395333.0,78195.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",17603051.0,16591.0,1061.0,13639025.0,16735.0,815.0,11831592.0,14808.0,799.0,7935964.0,14642.0,542.0,7385701.0,15419.0,479.0,0.02473882119329951,0.02475558933766675
2019-4-15,11397115.4,15261.2,5,56985577.0,76306.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",17181834.0,16194.0,1061.0,13307320.0,16328.0,815.0,11544751.000000002,14449.0,799.0,7744638.0,14289.0,542.0,7207034.0,15046.0,479.0,0.03813465278058503,0.03925147090869485
2019-3-15,10978455.8,14684.8,5,54892279.0,73424.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",16600406.0,15646.0,1061.0,12852550.0,15770.0,815.0,11150844.0,13956.0,799.0,7326213.999999999,13517.0,542.0,6962265.0,14535.0,479.0,-0.0061629821056835565,-0.007206890490420115
2019-2-15,11046535.4,14791.4,5,55232677.0,73957.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",16659822.0,15702.0,1061.0,12893300.0,15820.0,815.0,11187598.0,14002.0,799.0,7506700.0,13850.0,542.0,6985257.0,14583.0,479.0,0.02179384522162664,0.022875952588412574
