,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8505494.6,14941.0,5,42527473.0,74705.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12012855.0,15303.0,785.0,7073621.999999999,13551.0,522.0,7463820.0,13670.0,546.0,9201676.0,14113.0,652.0,6775499.999999999,18068.0,375.0,-0.049919180246670636,-0.04991733435075674
2019-11-15,8952390.6,15726.0,5,44761953.0,78630.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12645565.0,16109.0,785.0,7445286.0,14263.0,522.0,7855848.0,14388.0,546.0,9683504.0,14852.0,652.0,7131750.0,19018.0,375.0,0.04828188334593042,0.053329582445846624
2019-10-15,8540060.4,14929.8,5,42700302.0,74649.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12310370.0,15682.0,785.0,7108074.000000001,13617.0,522.0,7499856.0,13736.0,546.0,9242752.0,14176.0,652.0,6539250.0,17438.0,375.0,-0.017150555472884688,-0.01710380786854171
2019-9-15,8689083.0,15189.6,5,43445415.0,75948.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12527030.0,15958.0,785.0,7232310.0,13855.0,522.0,7630350.0,13975.0,546.0,9405100.0,14425.0,652.0,6650625.000000001,17735.0,375.0,-0.03778672552150164,-0.03780469264683517
2019-8-15,9030308.8,15786.4,5,45151544.0,78932.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",13016870.0,16582.0,785.0,7516278.0,14399.0,522.0,7929558.0,14523.0,546.0,9776088.0,14994.0,652.0,6912750.0,18434.0,375.0,0.003877993708045979,0.0038663071679299055
2019-7-15,8995424.6,15725.6,5,44977123.0,78628.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12965060.0,16516.0,785.0,7486524.0,14342.0,522.0,7898436.0,14466.0,546.0,9740228.0,14939.0,652.0,6886875.0,18365.0,375.0,0.00462287868731126,0.004612416471820868
2019-6-15,8954031.2,15653.4,5,44770156.0,78267.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12903830.0,16438.0,785.0,7452072.0,14276.0,522.0,7861308.0,14398.0,546.0,9697196.0,14873.0,652.0,6855750.0,18282.0,375.0,-0.01160408525546286,-0.01161806862237491
2019-5-15,9059154.4,15837.4,5,45295772.0,79187.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",13053765.0,16629.0,785.0,7539246.0,14443.0,522.0,7953036.0,14566.0,546.0,9812600.0,15050.0,652.0,6937125.0,18499.0,375.0,0.024635741359337215,0.0246234666942704
2019-4-15,8841341.4,15456.8,5,44206707.0,77284.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12738194.999999998,16227.0,785.0,7357590.0,14095.0,522.0,7761390.0,14215.0,546.0,9578532.0,14691.0,652.0,6771000.0,18056.0,375.0,0.03513245074283944,0.03511826632021653
2019-3-15,8541265.8,14932.4,5,42706329.0,74662.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12304090.0,15674.0,785.0,7107552.0,13616.0,522.0,7497672.0,13732.0,546.0,9255140.0,14195.0,652.0,6541875.0,17445.0,375.0,-0.0034717911022658088,-0.003483576471844496
2019-2-15,8571022.6,14984.6,5,42855113.0,74923.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12345695.0,15727.0,785.0,7132086.0,13663.0,522.0,7522788.0,13778.0,546.0,9289044.0,14247.0,652.0,6565500.0,17508.0,375.0,0.018888219115523963,0.018875365472224237
