,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7715351.8,17494.6,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7247475.0,17895.0,405.0,7159284.0,17721.0,404.0,7499794.000000001,17162.0,437.0,6804356.0,17537.0,388.0,9865850.0,17158.0,575.0,,0.005509104557752442,0.005506126859323501
2020-11-15,7673080.0,17398.8,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7208595.0,17799.0,405.0,7121308.0,17627.0,404.0,7458716.0,17068.0,437.0,6765556.0,17437.0,388.0,9811225.0,17063.0,575.0,,-0.012076539901430094,-0.012071726268212735
2020-10-15,7766877.0,17611.4,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7300935.0,18027.0,405.0,7212208.0,17852.0,404.0,7536065.0,17245.0,437.0,6849752.0,17654.0,388.0,9935425.0,17279.0,575.0,,0.013892518641845486,0.013897524467472833
2020-9-15,7660454.0,17370.0,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7201305.0,17781.0,405.0,7114440.0,17610.0,404.0,7432496.0,17008.0,437.0,6754304.0,17408.0,388.0,9799725.0,17043.0,575.0,,-0.017763225008697314,-0.017333846258287933
2020-8-15,7798989.2,17676.4,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7307820.000000001,18044.0,405.0,7219884.0,17871.0,404.0,7594623.0,17379.0,437.0,6853244.0,17663.0,388.0,10019375.0,17425.0,575.0,,-0.018269082255922275,-0.018294105232758207
2020-7-15,7944121.0,18005.8,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7452000.0,18400.0,405.0,7353608.0,18202.0,404.0,7732278.0,17694.0,437.0,6979344.0,17988.0,388.0,10203375.0,17745.0,575.0,,0.022194405392883754,0.02186077659103547
2020-6-15,7771634.2,17620.6,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7363710.0,18182.0,405.0,7129388.000000001,17647.0,404.0,7498046.0,17158.0,437.0,6898252.0,17779.0,388.0,9968775.0,17337.0,575.0,,-0.000712006920356445,-0.0007032269041002959
2020-5-15,7777171.6,17633.0,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7366950.0,18190.0,405.0,7135448.0,17662.0,404.0,7503727.0,17171.0,437.0,6902908.0,17791.0,388.0,9976825.0,17351.0,575.0,,0.02368435046640638,0.023686502177068247
2020-4-15,7597236.0,17225.0,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7196040.0,17768.0,405.0,6970212.0,17253.0,404.0,7330238.0,16774.0,437.0,6743440.0,17380.0,388.0,9746250.000000002,16950.0,575.0,,-0.0036432449097351105,-0.0036441462285978776
2020-3-15,7625015.8,17288.0,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7221960.0,17832.0,405.0,6995664.0,17316.0,404.0,7356895.0,16835.0,437.0,6768660.0,17445.0,388.0,9781900.0,17012.0,575.0,,0.02276785168171913,0.022861740900269822
2020-2-15,7455275.2,16901.6,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7068465.0,17453.0,405.0,6808612.0,16853.0,404.0,7200448.999999999,16477.0,437.0,6625100.0,17075.0,388.0,9573750.0,16650.0,575.0,,-0.01113564736470285,-0.01093139205542959
2020-1-15,7539229.4,17088.4,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7084665.0,17493.0,405.0,6906380.0,17095.0,404.0,7272991.0,16643.0,437.0,6720936.0,17322.0,388.0,9711175.0,16889.0,575.0,,0.027891258058352797,0.027886049756989717
