,lumpSum_avg,npsf_avg,final_address,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8665836.0,17592.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10133202.0,17411.0,582.0,7198470.0,17774.0,405.0,,0.00557824512251659,0.005573020863103739
2020-11-15,8617764.0,17495.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10076748.000000002,17314.0,582.0,7158780.0,17676.0,405.0,,-0.012424505217487725,-0.012446727442070538
2020-10-15,8726182.5,17715.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10202460.0,17530.0,582.0,7249905.0,17901.0,405.0,,0.013934098218250757,0.013907569037058254
2020-9-15,8606262.0,17472.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10061034.0,17287.0,582.0,7151490.0,17658.0,405.0,,-0.014662827105724863,-0.014690125754243555
2020-8-15,8734332.0,17733.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10209444.0,17542.0,582.0,7259220.000000001,17924.0,405.0,,-0.01829996225195496,-0.018323737821080655
2020-7-15,8897149.5,18064.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10398594.0,17867.0,582.0,7395705.0,18261.0,405.0,,0.011568490347227067,0.011535446298577723
2020-6-15,8795400.0,17858.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10278120.0,17660.0,582.0,7312680.0,18056.0,405.0,,-0.0007058933402320777,-0.0006994767913600652
2020-5-15,8801613.0,17870.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10285686.0,17673.0,582.0,7317540.0,18068.0,405.0,,0.02365286384190246,0.023657453816411378
2020-4-15,8598240.0,17457.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10048230.0,17265.0,582.0,7148250.0,17650.0,405.0,,-0.003569284854936683,-0.0035673515981735626
2020-3-15,8629039.5,17520.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10084314.0,17327.0,582.0,7173765.0,17713.0,405.0,,0.021743535968339778,0.021753076339884547
2020-2-15,8445406.5,17147.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",9870138.0,16959.0,582.0,7020675.0,17335.0,405.0,,-0.014150721219970963,-0.014143620996952766
