,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10848828.5,14484.0,4,43395314.0,57936.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16029588.000000002,15108.0,1061.0,12363550.0,15170.0,815.0,8331400.0,13525.0,616.0,6670776.0,14133.0,472.0,-0.04987688774981491,-0.04987126293520505
2019-11-15,11418339.75,15244.25,4,45673359.0,60977.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16873083.0,15903.0,1061.0,13010659.999999998,15964.0,815.0,8768144.0,14234.0,616.0,7021472.0,14876.0,472.0,0.04745721571213379,0.04746280963342153
2019-10-15,10901008.25,14553.5,4,43604033.0,58214.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16110223.999999998,15184.0,1061.0,12419785.0,15239.0,815.0,8370208.0,13588.0,616.0,6703816.0,14203.0,472.0,-0.01714286912152807,-0.01713687551706089
2019-9-15,11091142.25,14807.25,4,44364569.0,59229.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16393511.0,15451.0,1061.0,12634130.0,15502.0,815.0,8515584.0,13824.0,616.0,6821344.0,14452.0,472.0,-0.03771518548125097,-0.037709179528838344
2019-8-15,11525841.5,15387.5,4,46103366.0,61550.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",17037538.0,16058.0,1061.0,13128020.0,16108.0,815.0,8848840.0,14365.0,616.0,7088968.0,15019.0,472.0,0.003954879682179335,0.003963658309817708
2019-7-15,11480437.75,15326.75,4,45921751.0,61307.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16972817.0,15997.0,1061.0,13074230.0,16042.0,815.0,8813112.0,14307.0,616.0,7061592.0,14961.0,472.0,0.004696514568955035,0.00470337594231407
2019-6-15,11426771.75,15255.0,4,45707087.0,61020.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16895364.0,15924.0,1061.0,13011475.0,15965.0,815.0,8771224.0,14239.0,616.0,7029024.0,14892.0,472.0,-0.011490880297844175,-0.011485687440263126
2019-5-15,11559601.75,15432.25,4,46238407.0,61729.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",17093771.0,16111.0,1061.0,13160620.0,16148.0,815.0,8872864.0,14404.0,616.0,7111152.0,15066.0,472.0,0.02471725782597156,0.024717795484727745
2019-4-15,11280772.0,15060.0,4,45123088.0,60240.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16683164.0,15724.0,1061.0,12841140.0,15756.0,815.0,8658496.0,14056.0,616.0,6940288.0,14704.0,472.0,0.03519538136240841,0.03521163066453581
2019-3-15,10897239.5,14547.75,4,43588958.0,58191.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16118712.0,15192.0,1061.0,12402670.0,15218.0,815.0,8362816.000000001,13576.0,616.0,6704760.0,14205.0,472.0,-0.00338001493433826,-0.003373980954990752
2019-2-15,10934197.25,14597.0,4,43736789.0,58388.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16174945.0,15245.0,1061.0,12443420.0,15268.0,815.0,8390536.0,13621.0,616.0,6727888.0,14254.0,472.0,0.018979739546058916,0.018987783595113328
