,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10441838.57142857,15470.714285714286,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17930973.0,16649.0,1077.0,11656184.0,15688.0,743.0,10909717.0,15431.0,707.0,7142765.0,15295.0,467.0,6992330.0,15005.0,466.0,6975981.0,14811.0,471.0,11484920.0,15416.0,745.0,,0.005659553786192539,0.005655331240829842
2020-11-15,10383075.0,15383.714285714286,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17829735.0,16555.0,1077.0,11590800.0,15600.0,743.0,10848208.0,15344.0,707.0,7102603.0,15209.0,467.0,6953185.999999999,14921.0,466.0,6936888.0,14728.0,471.0,11420105.0,15329.0,745.0,,-0.012313359271386326,-0.01231782369828216
2020-10-15,10512519.42857143,15575.57142857143,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",18051597.0,16761.0,1077.0,11735685.000000002,15795.0,743.0,10983952.0,15536.0,707.0,7191333.0,15399.0,467.0,7039862.0,15107.0,466.0,7023552.0,14912.0,471.0,11561655.0,15519.0,745.0,,0.014085464312202145,0.014081756034041826
2020-9-15,10366502.42857143,15359.285714285714,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17800656.0,16528.0,1077.0,11572968.0,15576.0,743.0,10831240.0,15320.0,707.0,7091395.0,15185.0,467.0,6942468.0,14898.0,466.0,6926055.0,14705.0,471.0,11400735.0,15303.0,745.0,,-0.011007281736661323,-0.012309953608010682
2020-8-15,10481879.42857143,15550.714285714286,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17802810.0,16530.0,1077.0,11743115.0,15805.0,743.0,10991022.0,15546.0,707.0,7195535.999999999,15408.0,467.0,7044522.0,15117.0,466.0,7027791.0,14921.0,471.0,11568360.0,15528.0,745.0,,-0.01818401025476546,-0.0181744385316136
2020-7-15,10676012.142857144,15838.57142857143,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",18134526.0,16838.0,1077.0,11960071.0,16097.0,743.0,11194638.0,15834.0,707.0,7328631.0,15693.0,467.0,7175002.0,15397.0,466.0,7157787.0,15197.0,471.0,11781430.0,15814.0,745.0,,0.011644306201527455,0.011652204064128258
2020-6-15,10553128.285714285,15656.142857142857,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17926665.0,16645.0,1077.0,11822616.0,15912.0,743.0,11065257.0,15651.0,707.0,7244104.0,15512.0,467.0,7092054.0,15219.0,466.0,7075362.0,15022.0,471.0,11645840.0,15632.0,745.0,,-0.0008190584451458482,-0.0008114366988202226
2020-5-15,10561779.0,15668.857142857143,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17942820.0,16660.0,1077.0,11831532.0,15924.0,743.0,11073741.0,15663.0,707.0,7250175.0,15525.0,467.0,7097646.0,15231.0,466.0,7081014.0,15034.0,471.0,11655525.0,15645.0,745.0,,0.02362563953019392,0.02363997797459616
2020-4-15,10318009.42857143,15307.0,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17530329.0,16277.0,1077.0,11558108.0,15556.0,743.0,10817807.0,15301.0,707.0,7082522.0,15166.0,467.0,6933614.0,14879.0,466.0,6917106.0,14686.0,471.0,11386580.0,15284.0,745.0,,-0.003674699714262597,-0.0036636508187422034
2020-3-15,10356064.857142856,15363.285714285714,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17596026.0,16338.0,1077.0,11600459.0,15613.0,743.0,10857399.0,15357.0,707.0,7108207.0,15221.0,467.0,6958778.0,14933.0,466.0,6942540.0,14740.0,471.0,11429045.0,15341.0,745.0,,0.021669814794261777,0.021679444428610806
2020-2-15,10136410.714285715,15037.285714285714,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17224461.0,15993.0,1077.0,11353783.0,15281.0,743.0,10626917.0,15031.0,707.0,6957366.0,14898.0,467.0,6811056.0,14616.0,466.0,6795117.0,14427.0,471.0,11186175.000000002,15015.0,745.0,,-0.014242077176416457,-0.014234742135773248
