,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10606179.625,15240.5,8,84849437.0,121924.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17030384.0,16112.0,1057.0,11516382.0,15294.0,753.0,11741044.0,15388.0,763.0,11729478.0,14923.0,786.0,7359781.0,15301.0,481.0,7149868.0,15116.0,473.0,7131804.0,15046.0,474.0,11190696.0,14744.0,759.0,-0.04998201503812871,-0.049984805865714965
2019-11-15,11164188.25,16042.375,8,89313506.0,128339.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17925663.0,16959.0,1057.0,12124053.0,16101.0,753.0,12359074.0,16198.0,763.0,12345702.0,15707.0,786.0,7746505.0,16105.0,481.0,7526376.0,15912.0,473.0,7507212.0,15838.0,474.0,11778921.0,15519.0,759.0,0.04737140209474733,0.04736605867711274
2019-10-15,10659244.875,15316.875,8,85273959.0,122535.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17113887.0,16191.0,1057.0,11577375.0,15375.0,753.0,11800558.000000002,15466.0,763.0,11786070.0,14995.0,786.0,7395374.999999999,15375.0,481.0,7186289.0,15193.0,473.0,7168302.0,15123.0,474.0,11246103.0,14817.0,759.0,-0.017232903202050398,-0.017235571524814697
2019-9-15,10846155.625,15585.5,8,86769245.0,124684.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17413018.0,16474.0,1057.0,11782190.999999998,15647.0,753.0,12008094.0,15738.0,763.0,11992002.000000002,15257.0,786.0,7524764.0,15644.0,481.0,7312580.0,15460.0,473.0,7293912.0,15388.0,474.0,11442684.0,15076.0,759.0,-0.038239399935969254,-0.0381918463377946
2019-8-15,11277396.5,16204.375,8,90219172.0,129635.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",18096897.0,17121.0,1057.0,12246792.0,16264.0,753.0,12480391.0,16357.0,763.0,12502902.0,15907.0,786.0,7819617.0,16257.0,481.0,7600164.0,16068.0,473.0,7581156.0,15994.0,474.0,11891253.0,15667.0,759.0,0.003862927145398043,0.003856369591983766
2019-7-15,11234000.375,16142.125,8,89872003.0,129137.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",18026078.0,17054.0,1057.0,12201612.0,16204.0,753.0,12432322.0,16294.0,763.0,12454170.0,15845.0,786.0,7789314.0,16194.0,481.0,7571311.0,16007.0,473.0,7552242.0,15933.0,474.0,11844954.0,15606.0,759.0,0.004621569825332683,0.004621021759255717
2019-6-15,11182320.5,16067.875,8,89458564.0,128543.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17942575.0,16975.0,1057.0,12147396.0,16132.0,753.0,12375860.000000002,16220.0,763.0,12396006.000000002,15771.0,786.0,7752758.0,16118.0,481.0,7536782.0,15934.0,473.0,7517640.0,15860.0,474.0,11789547.0,15533.0,759.0,-0.011618409904710303,-0.011625850601668541
2019-5-15,11313768.5,16256.875,8,90510148.0,130055.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",18151861.0,17173.0,1057.0,12291972.0,16324.0,753.0,12522356.0,16412.0,763.0,12540630.0,15955.0,786.0,7843186.0,16306.0,481.0,7625706.000000001,16122.0,473.0,7606752.0,16048.0,474.0,11927685.0,15715.0,759.0,0.025246544431485773,0.025031723137792783
2019-4-15,11035168.625,15859.875,8,88281349.0,126879.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17661413.0,16709.0,1057.0,11998301.999999998,15934.0,753.0,12221734.0,16018.0,763.0,12238806.0,15571.0,786.0,7654153.0,15913.0,481.0,7442655.0,15735.0,473.0,7424262.000000001,15663.0,474.0,11640024.000000002,15336.0,759.0,0.03509900492134688,0.03509630681122888
2019-3-15,10660978.875,15322.125,8,85287831.0,122577.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17062094.0,16142.0,1057.0,11593188.0,15396.0,753.0,11807425.0,15475.0,763.0,11823012.0,15042.0,786.0,7394413.0,15373.0,481.0,7190546.0,15202.0,473.0,7172568.0,15132.0,474.0,11244585.0,14815.0,759.0,-0.0034818731091350585,-0.0034876347495244042
2019-2-15,10698228.75,15375.75,8,85585830.0,123006.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17120229.0,16197.0,1057.0,11635356.0,15452.0,753.0,11849390.0,15530.0,763.0,11863884.0,15094.0,786.0,7419425.0,15425.0,481.0,7216088.0,15256.0,473.0,7198164.0,15186.0,474.0,11283294.0,14866.0,759.0,0.018880590317153167,0.01887730168065138
