,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11888600.6,18018.0,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15143671.0,18719.0,809.0,16557150.0,19479.0,850.0,9597042.000000002,17199.0,558.0,8871912.0,16996.0,522.0,9273228.0,17697.0,524.0,,0.005442868612271612,0.005435085878821022
2020-11-15,11824242.8,17920.6,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15058726.0,18614.0,809.0,16468750.0,19375.0,850.0,9548496.0,17112.0,558.0,8823366.0,16903.0,522.0,9221876.0,17599.0,524.0,,-0.012556030908165261,-0.012562952514243553
2020-10-15,11974596.2,18148.6,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15247223.0,18847.0,809.0,16679550.0,19623.0,850.0,9672930.0,17335.0,558.0,8935074.0,17117.0,522.0,9338204.0,17821.0,524.0,,0.013861301806249449,0.013854284213936863
2020-9-15,11810882.0,17900.6,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15036074.0,18586.0,809.0,16452599.999999998,19356.0,850.0,9544032.0,17104.0,558.0,8812404.0,16882.0,522.0,9209300.0,17575.0,524.0,,-0.014691068735590784,-0.014696492657258031
2020-8-15,11986983.6,18167.6,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15257740.0,18860.0,809.0,16699100.0,19646.0,850.0,9689112.0,17364.0,558.0,8943426.0,17133.0,522.0,9345540.0,17835.0,524.0,,-0.018350250292775594,-0.01834961528486223
2020-7-15,12211059.6,18507.2,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15540890.0,19210.0,809.0,17012750.0,20015.0,850.0,9873252.0,17694.0,558.0,9109422.0,17451.0,522.0,9518984.0,18166.0,524.0,,0.01488206622630428,0.015495368947807453
2020-6-15,12031998.6,18224.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15360483.0,18987.0,809.0,16820650.0,19789.0,850.0,9568026.0,17147.0,558.0,9001890.0,17245.0,522.0,9408944.0,17956.0,524.0,,-0.000829630387471747,-0.0008114213030987472
2020-5-15,12041989.0,18239.6,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15371809.0,19001.0,809.0,16837650.0,19809.0,850.0,9579186.0,17167.0,558.0,9005544.0,17252.0,522.0,9415756.000000002,17969.0,524.0,,0.021654358047877853,0.022513734723623724
2020-4-15,11786754.4,17838.0,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15191402.0,18778.0,809.0,16451750.0,19355.0,850.0,9362124.0,16778.0,558.0,8795700.0,16850.0,522.0,9132796.0,17429.0,524.0,,-0.005861398688957964,-0.0054860507125176206
2020-3-15,11856248.6,17936.4,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15370191.0,18999.0,809.0,16515500.000000002,19430.0,850.0,9400626.0,16847.0,558.0,8826498.0,16909.0,522.0,9168428.0,17497.0,524.0,,0.0215252817208742,0.021528157463094555
2020-2-15,11606417.2,17558.4,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15045782.0,18598.0,809.0,16167850.0,19021.0,850.0,9205326.0,16497.0,558.0,8638056.0,16548.0,522.0,8975072.0,17128.0,524.0,,-0.014380625963844484,-0.014381462396012124
2020-1-15,11775760.0,17814.6,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15264212.0,18868.0,809.0,16404150.0,19299.0,850.0,9342594.0,16743.0,558.0,8761248.0,16784.0,522.0,9106596.0,17379.0,524.0,,0.027699527836798632,0.02770214140668248
2019-12-15,11458368.6,17334.4,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14852431.000000002,18359.0,809.0,15962150.000000002,18779.0,850.0,9093726.0,16297.0,558.0,8522172.0,16326.0,522.0,8861364.0,16911.0,524.0,,-0.05052140839621977,-0.05052364050655089
2019-11-15,12068064.2,18256.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15642015.0,19335.0,809.0,16811300.0,19778.0,850.0,9580860.0,17170.0,558.0,8972658.0,17189.0,522.0,9333488.0,17812.0,524.0,,0.04465283682244192,0.044104863430479924
2019-10-15,11552224.6,17485.6,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14930095.0,18455.0,809.0,16047150.0,18879.0,850.0,9312462.0,16689.0,558.0,8561844.0,16402.0,522.0,8909572.0,17003.0,524.0,,-0.01383149559158292,-0.013083183762854778
2019-9-15,11714250.2,17717.4,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15182503.0,18767.0,809.0,16320000.0,19200.0,850.0,9473166.0,16977.0,558.0,8704350.0,16675.0,522.0,8891232.0,16968.0,524.0,,-0.03813988668225965,-0.038132878750040566
2019-8-15,12178746.2,18419.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15784399.0,19511.0,809.0,16967700.0,19962.0,850.0,9851490.0,17655.0,558.0,9046782.0,17331.0,522.0,9243360.0,17640.0,524.0,,0.002560612427723319,0.0025581294086911566
2019-7-15,12147640.8,18372.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15743140.0,19460.0,809.0,16924350.0,19911.0,850.0,9829728.0,17616.0,558.0,9020682.0,17281.0,522.0,9220304.0,17596.0,524.0,,0.0018287461503336822,0.0018321409876111971
2019-6-15,12125466.4,18339.2,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15714016.0,19424.0,809.0,16893750.0,19875.0,850.0,9814662.0,17589.0,558.0,9001368.0,17244.0,522.0,9203536.0,17564.0,524.0,,-0.009055001077207803,-0.009045421633363082
2019-5-15,12236265.8,18506.6,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15857209.0,19601.0,809.0,17049300.0,20058.0,850.0,9906732.0,17754.0,558.0,9080712.0,17396.0,522.0,9287376.0,17724.0,524.0,,0.02346881108445853,0.023515878195272233
2019-4-15,11955680.2,18081.4,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15496395.0,19155.0,809.0,16661700.000000002,19602.0,850.0,9677952.0,17344.0,558.0,8871390.0,16995.0,522.0,9070964.0,17311.0,524.0,,0.03734275238445095,0.03738424996270773
2019-3-15,11525294.0,17429.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14940612.0,18468.0,809.0,16065000.0,18900.0,850.0,9328086.0,16717.0,558.0,8551404.0,16382.0,522.0,8741368.0,16682.0,524.0,,-0.003051906809001692,-0.003008740218734429
2019-2-15,11560575.8,17482.4,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14988343.0,18527.0,809.0,16117700.000000002,18962.0,850.0,9355428.0,16766.0,558.0,8576460.0,16430.0,522.0,8764948.0,16727.0,524.0,,0.017390939011401763,0.01743604069185478
2019-1-15,11362963.2,17182.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14735126.0,18214.0,809.0,15844850.0,18641.0,850.0,9194166.0,16477.0,558.0,8428734.0,16147.0,522.0,8611940.0,16435.0,524.0,,0.04099465432901539,0.04101588532515854
2018-12-15,10915486.6,16505.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14158309.0,17501.0,809.0,15220100.0,17906.0,850.0,8831466.0,15827.0,558.0,8096742.0,15511.0,522.0,8270816.0,15784.0,524.0,,-0.027758688118641683,-0.025735163914105907
2018-11-15,11227137.2,16941.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14678496.0,18144.0,809.0,15774300.0,18558.0,850.0,9153432.0,16404.0,558.0,7964154.0,15257.0,522.0,8565304.0,16346.0,524.0,,0.03287894942802372,0.03292321574461332
2018-10-15,10869751.2,16401.8,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14215748.0,17572.0,809.0,15272800.0,17968.0,850.0,8862156.0,15882.0,558.0,7708896.000000001,14768.0,522.0,8289156.0,15819.0,524.0,,,
2018-9-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2018-8-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2018-7-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2018-6-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2018-5-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2018-4-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2018-3-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2018-2-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2018-1-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-12-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-11-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-10-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-9-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-8-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-7-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-6-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-5-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-4-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-3-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-2-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2017-1-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-12-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-11-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-10-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-9-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-8-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-7-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-6-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-5-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-4-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-3-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-2-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,,
2016-1-15,,,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,652.6,,
