,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10849798.75,14485.25,4,43399195.0,57941.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16031710.0,15110.0,1061.0,12364365.0,15171.0,815.0,8331400.0,13525.0,616.0,6671720.0,14135.0,472.0,-0.04989941991780955,-0.04989833398924304
2019-11-15,11419631.75,15246.0,4,45678527.0,60984.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16875205.0,15905.0,1061.0,13012290.0,15966.0,815.0,8768144.0,14234.0,616.0,7022888.0,14879.0,472.0,0.04748250512510177,0.04749308644944095
2019-10-15,10901978.5,14554.75,4,43607914.0,58219.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16112346.0,15186.0,1061.0,12420600.0,15240.0,815.0,8370208.0,13588.0,616.0,6704760.0,14205.0,472.0,-0.017159423308003907,-0.017152021608846102
2019-9-15,11092316.25,14808.75,4,44369265.0,59235.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16395633.0,15453.0,1061.0,12635759.999999998,15504.0,815.0,8515584.0,13824.0,616.0,6822288.0,14454.0,472.0,-0.03769433468886141,-0.03768987084720976
2019-8-15,11526811.75,15388.75,4,46107247.0,61555.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",17039660.0,16060.0,1061.0,13128835.0,16109.0,815.0,8848840.0,14365.0,616.0,7089912.0,15021.0,472.0,0.003954545470381321,0.0039633350730687855
2019-7-15,11481408.0,15328.0,4,45925632.0,61312.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16974939.0,15999.0,1061.0,13075045.0,16043.0,815.0,8813112.0,14307.0,616.0,7062536.0,14963.0,472.0,0.004696115820605584,0.004702990577632127
2019-6-15,11427742.0,15256.25,4,45710968.0,61025.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16897486.0,15926.0,1061.0,13012290.0,15966.0,815.0,8771224.0,14239.0,616.0,7029968.0,14894.0,472.0,-0.011530017063342335,-0.011516781132564491
2019-5-15,11561041.0,15434.0,4,46244164.0,61736.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",17096954.0,16114.0,1061.0,13162249.999999998,16150.0,815.0,8872864.0,14404.0,616.0,7112096.0,15068.0,472.0,0.02472809203303772,0.024731932410450463
2019-4-15,11282057.25,15061.5,4,45128229.0,60246.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16686347.0,15727.0,1061.0,12842770.0,15758.0,815.0,8657880.0,14055.0,616.0,6941232.0,14706.0,472.0,0.035201797949765856,0.03520800041239247
2019-3-15,10898413.5,14549.25,4,43593654.0,58197.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16120834.0,15194.0,1061.0,12404300.0,15220.0,815.0,8362816.000000001,13576.0,616.0,6705703.999999999,14207.0,472.0,-0.0033610824891342483,-0.0033565667117634312
2019-2-15,10935167.5,14598.25,4,43740670.0,58393.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16177067.0,15247.0,1061.0,12444235.0,15269.0,815.0,8390536.0,13621.0,616.0,6728832.0,14256.0,472.0,0.01895867745569113,0.018968345373957307
2019-1-15,10731708.5,14326.5,4,42926834.0,57306.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",15877865.0,14965.0,1061.0,12211145.0,14983.0,815.0,8234072.0,13367.0,616.0,6603752.0,13991.0,472.0,0.039880555834742815,0.039885316106554436
2018-12-15,10320135.75,13777.0,4,41280543.0,55108.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",15270972.999999998,14393.0,1061.0,11740890.0,14406.0,815.0,7917448.000000001,12853.0,616.0,6351232.0,13456.0,472.0,-0.03528657033743399,-0.03527475797839752
2018-11-15,10697618.0,14280.75,4,42790472.0,57123.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",15832242.0,14922.0,1061.0,12167950.0,14930.0,815.0,8206352.000000001,13322.0,616.0,6583928.0,13949.0,472.0,0.03342792109344406,0.03343283582089551
2018-10-15,10351586.0,13818.75,4,41406344.0,55275.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",15321901.000000002,14441.0,1061.0,11772674.999999998,14445.0,815.0,7940240.0,12890.0,616.0,6371528.0,13499.0,472.0,,
2018-9-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-8-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-7-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-6-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-5-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-4-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-3-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-2-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2018-1-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-12-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-11-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
