,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10580227.875,15211.875,8,84641823.0,121695.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",16923627.0,16011.0,1057.0,11518641.0,15297.0,753.0,11743333.000000002,15391.0,763.0,11621795.999999998,14786.0,786.0,7359781.0,15301.0,481.0,7149868.0,15116.0,473.0,7131804.0,15046.0,474.0,11192973.000000002,14747.0,759.0,-0.04997219342867887,-0.04997775123539194
2019-11-15,11136756.0,16012.125,8,89094048.0,128097.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17812564.0,16852.0,1057.0,12126312.0,16104.0,753.0,12361363.0,16201.0,763.0,12232518.0,15563.0,786.0,7746505.0,16105.0,481.0,7526376.0,15912.0,473.0,7507212.0,15838.0,474.0,11781198.0,15522.0,759.0,0.04737596805870625,0.04737414454265232
2019-10-15,10633007.0,15287.875,8,85064056.0,122303.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17006073.0,16089.0,1057.0,11579634.0,15378.0,753.0,11802847.0,15469.0,763.0,11678388.0,14858.0,786.0,7395374.999999999,15375.0,481.0,7185816.0,15192.0,473.0,7168302.0,15123.0,474.0,11247621.0,14819.0,759.0,-0.017246830777927213,-0.01725190839694657
2019-9-15,10819611.0,15556.25,8,86556888.0,124450.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17303090.0,16370.0,1057.0,11784450.0,15650.0,753.0,12010383.0,15741.0,763.0,11882748.0,15118.0,786.0,7524764.0,15644.0,481.0,7312580.0,15460.0,473.0,7293912.0,15388.0,474.0,11444961.0,15079.0,759.0,-0.038457890506498726,-0.038387241342008105
2019-8-15,11252352.75,16177.25,8,90018822.0,129418.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17981684.0,17012.0,1057.0,12249051.0,16267.0,753.0,12482680.0,16360.0,763.0,12410940.0,15790.0,786.0,7819617.0,16257.0,481.0,7600164.0,16068.0,473.0,7581156.0,15994.0,474.0,11893530.0,15670.0,759.0,0.00384238469146414,0.0038395010975542654
2019-7-15,11209282.375,16115.375,8,89674259.0,128923.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17911922.0,16946.0,1057.0,12203871.0,16207.0,753.0,12435374.000000002,16298.0,763.0,12362994.0,15729.0,786.0,7789314.0,16194.0,481.0,7571311.0,16007.0,473.0,7552242.0,15933.0,474.0,11847231.0,15609.0,759.0,0.004631549356978404,0.004628727723273718
2019-6-15,11157605.375,16041.125,8,89260843.0,128329.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17828419.0,16867.0,1057.0,12149655.0,16135.0,753.0,12378148.999999998,16223.0,763.0,12305616.0,15656.0,786.0,7752758.0,16118.0,481.0,7536782.0,15934.0,473.0,7517640.0,15860.0,474.0,11791824.0,15536.0,759.0,-0.011635244231693265,-0.01163739987677137
2019-5-15,11288955.125,16230.0,8,90311641.0,129840.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",18037705.0,17065.0,1057.0,12294231.0,16327.0,753.0,12524645.0,16415.0,763.0,12449454.0,15839.0,786.0,7843186.0,16306.0,481.0,7625706.000000001,16122.0,473.0,7606752.0,16048.0,474.0,11929962.0,15718.0,759.0,0.02541134558035929,0.025138959070237554
2019-4-15,11009196.625,15832.0,8,88073573.0,126656.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17535630.0,16590.0,1057.0,12000561.0,15937.0,753.0,12224022.999999998,16021.0,763.0,12149988.0,15458.0,786.0,7654153.0,15913.0,481.0,7442655.0,15735.0,473.0,7424262.000000001,15663.0,474.0,11642301.0,15339.0,759.0,0.03509503231305833,0.0350925941060134
2019-3-15,10635928.375,15295.25,8,85087427.0,122362.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",16940539.0,16027.0,1057.0,11595447.0,15399.0,753.0,11809714.0,15478.0,763.0,11737338.0,14933.0,786.0,7394413.0,15373.0,481.0,7190546.0,15202.0,473.0,7172568.0,15132.0,474.0,11246862.0,14818.0,759.0,-0.0034720836731173543,-0.0034775102004250824
2019-2-15,10672985.875,15348.625,8,85383887.0,122789.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",16998674.0,16082.0,1057.0,11636862.0,15454.0,753.0,11851679.0,15533.0,763.0,11777424.0,14984.0,786.0,7419425.0,15425.0,481.0,7216088.0,15256.0,473.0,7198164.0,15186.0,474.0,11285571.0,14869.0,759.0,0.01886256178094503,0.018860566231869713
2019-1-15,10475393.125,15064.5,8,83803145.0,120516.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",16682631.0,15783.0,1057.0,11423762.999999998,15171.0,753.0,11632698.0,15246.0,763.0,11558916.0,14706.0,786.0,7281378.0,15138.0,481.0,7082702.0,14974.0,473.0,7064970.0,14905.0,474.0,11076087.0,14593.0,759.0,,
2018-12-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-11-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
