,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,10640526.333333334,15124.777777777777,9,95764737.0,136123.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17010138.0,15794.0,1077.0,11651169.0,15473.0,753.0,11743333.000000002,15391.0,763.0,10551975.0,14925.0,707.0,7080801.0,14721.0,481.0,6934653.0,14661.0,473.0,6913764.000000001,14586.0,474.0,11293920.0,14880.0,759.0,12584984.0,15692.0,802.0,-0.049965362057642126,-0.04995777528074208
2019-11-15,11200145.666666666,15920.111111111111,9,100801311.0,143281.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17906202.0,16626.0,1077.0,12264111.0,16287.0,753.0,12361363.0,16201.0,763.0,11106263.0,15709.0,707.0,7453095.0,15495.0,481.0,7298863.0,15431.0,473.0,7277322.0,15353.0,474.0,11887458.0,15662.0,759.0,13246634.0,16517.0,802.0,0.04740743379237178,0.047421670541105465
2019-10-15,10693208.111111112,15199.333333333334,9,96238873.0,136794.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17098452.0,15876.0,1077.0,11708397.0,15549.0,753.0,11802847.0,15469.0,763.0,10603586.0,14998.0,707.0,7115433.0,14793.0,481.0,6968236.000000001,14732.0,473.0,6947417.999999999,14657.0,474.0,11348568.0,14952.0,759.0,12645936.0,15768.0,802.0,-0.01723150136699736,-0.017228001609287835
2019-9-15,10880698.888888888,15465.777777777777,9,97926290.0,139192.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17398935.0,16155.0,1077.0,11913213.0,15821.0,753.0,12010383.0,15741.0,763.0,10789527.0,15261.0,707.0,7240012.0,15052.0,481.0,7090270.000000001,14990.0,473.0,7069236.0,14914.0,474.0,11547426.0,15214.0,759.0,12867288.0,16044.0,802.0,-0.03776132493327,-0.037752414398595224
2019-8-15,11307692.333333334,16072.555555555555,9,101769231.0,144653.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",18083907.0,16791.0,1077.0,12380073.0,16441.0,753.0,12482680.0,16360.0,763.0,11212313.0,15859.0,707.0,7523802.0,15642.0,481.0,7368394.0,15578.0,473.0,7346526.0,15499.0,474.0,11999790.0,15810.0,759.0,13371746.0,16673.0,802.0,0.003866874705518164,0.003879412050467046
2019-7-15,11264135.333333334,16010.444444444445,9,101377218.0,144094.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",18016056.0,16728.0,1077.0,12331881.0,16377.0,753.0,12435374.000000002,16298.0,763.0,11169186.0,15798.0,707.0,7494461.0,15581.0,481.0,7339541.0,15517.0,473.0,7317611.999999999,15438.0,474.0,11953491.0,15749.0,759.0,13319616.0,16608.0,802.0,0.004626044399268281,0.004636440329361724
2019-6-15,11212266.888888888,15936.555555555555,9,100910402.0,143429.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17935281.0,16653.0,1077.0,12274653.0,16301.0,753.0,12378148.999999998,16223.0,763.0,11117575.0,15725.0,707.0,7459829.0,15509.0,481.0,7305485.0,15445.0,473.0,7283484.0,15366.0,474.0,11898084.0,15676.0,759.0,13257862.0,16531.0,802.0,-0.011587689938399537,-0.01157750380748268
2019-5-15,11343714.333333334,16123.222222222223,9,102093429.0,145109.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",18147450.0,16850.0,1077.0,12417723.0,16491.0,753.0,12524645.0,16415.0,763.0,11247663.0,15909.0,707.0,7546890.0,15690.0,481.0,7390625.0,15625.0,473.0,7368804.0,15546.0,474.0,12036981.0,15859.0,759.0,13412648.0,16724.0,802.0,0.024638419364307218,0.024650821223290764
2019-4-15,11070943.777777778,15735.333333333334,9,99638494.0,141618.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17713419.0,16447.0,1077.0,12118782.0,16094.0,753.0,12224022.999999998,16021.0,763.0,10976882.0,15526.0,707.0,7365072.0,15312.0,481.0,7212777.0,15249.0,473.0,7191054.0,15171.0,474.0,11747043.0,15477.0,759.0,13089442.0,16321.0,802.0,0.03511794596168416,0.03512849750021929
2019-3-15,10695345.222222222,15201.333333333334,9,96258107.0,136812.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17114607.0,15891.0,1077.0,11706891.0,15547.0,753.0,11809714.0,15478.0,763.0,10604293.0,14999.0,707.0,7114952.0,14792.0,481.0,6967763.0,14731.0,473.0,6946944.0,14656.0,474.0,11347809.0,14951.0,759.0,12645134.0,15767.0,802.0,-0.0034525777640884714,-0.003438128259666051
2019-2-15,10732399.666666666,15253.777777777777,9,96591597.0,137284.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17175996.0,15948.0,1077.0,11747553.0,15601.0,753.0,11851679.0,15533.0,763.0,10640350.0,15050.0,707.0,7139002.000000001,14842.0,481.0,6991412.999999999,14781.0,473.0,6970644.0,14706.0,474.0,11386518.0,15002.0,759.0,12688442.0,15821.0,802.0,0.018874133478173682,0.01888080748107468
