,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7102954.0,17582.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7132268.0,17524.0,407.0,7073640.0,17640.0,401.0,,0.0056627832134921174,0.005662643711033644
2020-11-15,7062958.0,17483.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7091975.000000001,17425.0,407.0,7033941.0,17541.0,401.0,,-0.012232074398400905,-0.01223198395434899
2020-10-15,7150422.5,17699.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7179887.0,17641.0,407.0,7120958.0,17758.0,401.0,,0.014123782166034715,0.014123646364521791
2020-9-15,7050838.0,17453.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7079765.0,17395.0,407.0,7021911.0,17511.0,401.0,,-0.014428243772398597,-0.014428099500240044
2020-8-15,7154058.5,17708.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7183550.0,17650.0,407.0,7124567.0,17767.0,401.0,,-0.01810351690099865,-0.01810368727474354
2020-7-15,7285960.0,18035.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7315825.0,17975.0,407.0,7256095.0,18095.0,401.0,,0.011781079145572138,0.011781206171108005
2020-6-15,7201123.0,17825.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7230762.0,17766.0,407.0,7171484.0,17884.0,401.0,,-0.00067277539695898,-0.0006727588720075728
2020-5-15,7205971.0,17837.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7235646.0,17778.0,407.0,7176296.0,17896.0,401.0,,0.023673503945797147,0.023673563086458627
2020-4-15,7039325.5,17424.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7068369.0,17367.0,407.0,7010282.000000001,17482.0,401.0,,-0.0036026612303077243,-0.003602573266619058
2020-3-15,7064777.5,17487.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7094010.0,17430.0,407.0,7035544.999999999,17545.0,401.0,,0.02173478386157779,0.021734684934708204
2020-2-15,6914492.5,17115.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6943013.0,17059.0,407.0,6885972.0,17172.0,401.0,,-0.014169203365301586,-0.0141692826080696
2020-1-15,7013873.5,17361.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7042728.0,17304.0,407.0,6985019.0,17419.0,401.0,,0.027915954410943966,0.027915926583777395
2019-12-15,6823392.0,16890.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6851438.0,16834.0,407.0,6795346.0,16946.0,401.0,,-0.05035019021479881,-0.050350004216918265
2019-11-15,7185166.5,17785.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7214889.0,17727.0,407.0,7155444.0,17844.0,401.0,,0.0478702257747059,0.047870146703588023
2019-10-15,6856924.0,16973.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6885219.0,16917.0,407.0,6828629.0,17029.0,401.0,,-0.01651405516962634,-0.016514080426468847
2019-9-15,6972061.0,17258.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7000807.0,17201.0,407.0,6943315.0,17315.0,401.0,,-0.03793506684271253,-0.037935167377428414
2019-8-15,7246975.5,17938.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7276753.0,17879.0,407.0,7217198.0,17998.0,401.0,,0.002710870587597114,0.00271101173840127
2019-7-15,7227383.0,17890.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7257217.0,17831.0,407.0,7197549.0,17949.0,401.0,,0.002016404358949453,0.002016354878458637
2019-6-15,7212839.0,17854.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7242565.0,17795.0,407.0,7183113.0,17913.0,401.0,,-0.006520431970095553,-0.006538129816654137
2019-5-15,7260178.5,17971.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7272683.0,17869.0,407.0,7247674.0,18074.0,401.0,,0.0234632340798111,0.023463082661806967
2019-4-15,7093736.5,17559.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7105813.0,17459.0,407.0,7081660.0,17660.0,401.0,,0.03733552214286906,0.03733569635208989
2019-3-15,6838420.5,16927.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6850217.0,16831.0,407.0,6826623.999999999,17024.0,401.0,,-0.003091785284597748,-0.0030918727915194566
2019-2-15,6859629.0,16980.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6871381.0,16883.0,407.0,6847877.0,17077.0,401.0,,0.01734526598529018,0.017345196369191962
2019-1-15,6742675.5,16690.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6754165.0,16595.0,407.0,6731186.0,16786.0,401.0,,0.04084674943569211,0.04084687100495765
2018-12-15,6478067.5,16035.5,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6489208.000000001,15944.0,407.0,6466927.0,16127.0,401.0,,-0.035342533967040235,-0.035342597605727
2018-11-15,6715407.0,16623.0,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6726896.0,16528.0,407.0,6703918.0,16718.0,401.0,,,
2018-10-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-9-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-8-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-7-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-6-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-5-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-4-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-3-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-2-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2018-1-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-12-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-11-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-10-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-9-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-8-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-7-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-6-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-5-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-4-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-3-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-2-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2017-1-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-12-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-11-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-10-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-9-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-8-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-7-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-6-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-5-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-4-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-3-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-2-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,,
2016-1-15,,,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,404.0,,
