,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,1533700.0,4382.0,2,3067400.0,8764.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1533700.0,4382.0,350.0,1533700.0,4382.0,350.0,-0.039245779434334604,-0.039245779434334604
2019-11-15,1596350.0,4561.0,2,3192700.0,9122.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1596350.0,4561.0,350.0,1596350.0,4561.0,350.0,0.06814988290398127,0.06814988290398127
2019-10-15,1494500.0,4270.0,2,2989000.0,8540.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1494500.0,4270.0,350.0,1494500.0,4270.0,350.0,-0.051532652154598124,-0.0515326521545979
2019-9-15,1575700.0000000002,4502.0,2,3151400.0000000005,9004.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1575700.0000000002,4502.0,350.0,1575700.0000000002,4502.0,350.0,-0.05479739659878213,-0.054797396598782244
2019-8-15,1667050.0,4763.0,2,3334100.0,9526.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1667050.0,4763.0,350.0,1667050.0,4763.0,350.0,0.03565992607088497,0.03565992607088497
2019-7-15,1609650.0,4599.0,2,3219300.0,9198.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1609650.0,4599.0,350.0,1609650.0,4599.0,350.0,-0.021281123643328348,-0.021281123643328348
2019-6-15,1644650.0,4699.0,2,3289300.0,9398.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1644650.0,4699.0,350.0,1644650.0,4699.0,350.0,0.0,0.0
2019-5-15,1644650.0,4699.0,2,3289300.0,9398.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1644650.0,4699.0,350.0,1644650.0,4699.0,350.0,0.030482456140350944,0.030482456140350944
2019-4-15,1596000.0,4560.0,2,3192000.0,9120.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1596000.0,4560.0,350.0,1596000.0,4560.0,350.0,0.04395604395604402,0.04395604395604402
2019-3-15,1528800.0,4368.0,2,3057600.0,8736.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1528800.0,4368.0,350.0,1528800.0,4368.0,350.0,0.029217719132893727,0.029217719132893505
2019-2-15,1485399.9999999998,4244.0,2,2970799.9999999995,8488.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1485399.9999999998,4244.0,350.0,1485399.9999999998,4244.0,350.0,0.011198475101262595,0.011198475101262817
2019-1-15,1468950.0,4197.0,2,2937900.0,8394.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1468950.0,4197.0,350.0,1468950.0,4197.0,350.0,-0.03892832608197849,-0.03892832608197849
2018-12-15,1528450.0,4367.0,2,3056900.0,8734.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1528450.0,4367.0,350.0,1528450.0,4367.0,350.0,-0.007725516927970966,-0.007725516927970966
2018-11-15,1540350.0,4401.0,2,3080700.0,8802.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1540350.0,4401.0,350.0,1540350.0,4401.0,350.0,-0.05578202102553098,-0.05578202102553098
2018-10-15,1631350.0,4661.0,2,3262700.0,9322.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1631350.0,4661.0,350.0,1631350.0,4661.0,350.0,0.040169604998884,0.04016960499888422
2018-9-15,1568350.0000000002,4481.0,2,3136700.0000000005,8962.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1568350.0000000002,4481.0,350.0,1568350.0000000002,4481.0,350.0,-0.03343399482312326,-0.03343399482312337
2018-8-15,1622600.0,4636.0,2,3245200.0,9272.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1622600.0,4636.0,350.0,1622600.0,4636.0,350.0,-0.049025641025641,-0.049025641025641
2018-7-15,1706250.0,4875.0,2,3412500.0,9750.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1706250.0,4875.0,350.0,1706250.0,4875.0,350.0,0.02826407930816277,0.02826407930816277
2018-6-15,1659350.0000000002,4741.0,2,3318700.0000000005,9482.0,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",1659350.0000000002,4741.0,350.0,1659350.0000000002,4741.0,350.0,,
2018-5-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2018-4-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2018-3-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2018-2-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2018-1-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-12-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-11-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-10-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-9-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-8-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-7-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-6-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-5-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-4-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-3-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-2-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2017-1-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-12-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-11-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-10-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-9-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-8-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-7-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-6-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-5-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-4-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-3-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-2-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
2016-1-15,,,2,,,700,"BELA VISTA VILLA(Block 11),TUNG WAN|東堤小築11座,東灣",,,350.0,,,350.0,,
