,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,15590850.000000002,16113.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15036252.000000002,16273.0,924.0,16145448.000000002,15954.0,1012.0,,-0.016601932451615786,-0.01660004272069815
2020-11-15,15854058.0,16385.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15289428.0,16547.0,924.0,16418688.0,16224.0,1012.0,,0.019728398450821194,0.01972803933161149
2020-10-15,15547334.0,16068.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14993748.0,16227.0,924.0,16100920.0,15910.0,1012.0,,-0.008516106946589885,-0.00851510196526084
2020-9-15,15680874.0,16206.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15122183.999999998,16366.0,924.0,16239564.0,16047.0,1012.0,,0.01818911652862565,0.018188100772758675
2020-8-15,15400748.0,15917.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14852376.0,16074.0,924.0,15949120.000000002,15760.0,1012.0,,-0.005281697645900363,-0.0052807549292254174
2020-7-15,15482522.0,16001.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14930915.999999998,16159.0,924.0,16034128.0,15844.0,1012.0,,-0.0031135393633251462,-0.0031149736784724658
2020-6-15,15530878.0,16051.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14978040.0,16210.0,924.0,16083716.0,15893.0,1012.0,,-0.0048057539352485135,-0.004805009610019173
2020-5-15,15605876.0,16129.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15050112.0,16288.0,924.0,16161639.999999998,15970.0,1012.0,,0.016544547034807344,0.01654429143163272
2020-4-15,15351886.0,15866.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14805252.0,16023.0,924.0,15898520.0,15710.0,1012.0,,-0.016365412454910522,-0.01636651064753103
2020-3-15,15607306.0,16130.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15051960.0,16290.0,924.0,16162652.000000002,15971.0,1012.0,,0.023119678334910132,0.02311937079791959
2020-2-15,15254624.0,15766.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14711928.0,15922.0,924.0,15797320.0,15610.0,1012.0,,0.02669983416252064,0.026699661370148453
2020-1-15,14857920.0,15356.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14329392.0,15508.0,924.0,15386447.999999998,15204.0,1012.0,,-0.03895767548883855,-0.03895860061958256
2019-12-15,15460213.999999998,15978.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14910587.999999998,16137.0,924.0,16009839.999999998,15820.0,1012.0,,0.009572258121981259,0.009572249952612522
2019-11-15,15313628.0,15827.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14769216.0,15984.0,924.0,15858040.0,15670.0,1012.0,,0.00985812711543499,0.009858031583984683
2019-10-15,15164138.000000002,15672.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14625072.000000002,15828.0,924.0,15703204.000000002,15517.0,1012.0,,-0.026189009573109323,-0.026189884428979737
2019-9-15,15571952.0,16094.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15018696.0,16254.0,924.0,16125208.000000002,15934.0,1012.0,,-0.02460615815409717,-0.02460606060606063
2019-8-15,15964784.0,16500.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15397535.999999998,16664.0,924.0,16532032.000000002,16336.0,1012.0,,-0.008979210566926188,-0.008979248626084901
2019-7-15,16109434.0,16649.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15537059.999999998,16815.0,924.0,16681808.0,16484.0,1012.0,,0.010592460100583345,0.010591805766312579
2019-6-15,15940584.000000002,16475.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15374436.000000002,16639.0,924.0,16506732.000000002,16311.0,1012.0,,-0.02413625448320711,-0.024137420405745624
2019-5-15,16334846.0,16882.5,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15755123.999999998,17051.0,924.0,16914568.0,16714.0,1012.0,,0.010142332777353102,0.010141805779931845
2019-4-15,16170836.0,16713.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15597119.999999998,16880.0,924.0,16744552.000000002,16546.0,1012.0,,0.014139267925882049,0.014138349514563053
2019-3-15,15945380.0,16480.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",15379980.0,16645.0,924.0,16510780.0,16315.0,1012.0,,0.04602697655354748,0.045685279187817285
2019-2-15,15243756.0,15760.0,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",14812644.0,16031.0,924.0,15674867.999999998,15489.0,1012.0,,,
2019-1-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-12-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-11-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-10-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-9-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-8-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-7-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-6-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-5-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-4-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-3-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-2-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2018-1-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-12-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-11-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-10-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-9-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-8-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-7-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-6-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-5-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-4-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-3-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-2-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2017-1-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-12-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-11-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-10-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-9-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-8-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-7-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-6-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-5-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-4-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-3-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-2-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,,,
2016-1-15,,,"CRESCENT GREEN(Block 7),KO PO PATH|山水盈7座,高埔徑",,,924.0,,,1012.0,968.0,,
