,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6528881.5,13710.833333333334,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",8848272.0,13128.0,674.0,6842288.0,13712.0,499.0,8251950.0,13550.0,609.0,4111902.0,14738.0,279.0,5582539.0,14351.0,389.0,5536338.0,12786.0,433.0,,-0.011236054601235779,-0.01171311869293612
2022-11-15,6603074.0,13873.333333333334,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",8899496.0,13204.0,674.0,6931609.0,13891.0,499.0,8358525.000000001,13725.0,609.0,4165749.0,14931.0,279.0,5655282.0,14538.0,389.0,5607783.0,12951.0,433.0,,-0.0409034202165649,-0.040903329876713856
2022-10-15,6884681.0,14465.0,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",9278284.0,13766.0,674.0,7227516.0,14484.0,499.0,8715399.0,14311.0,609.0,4343193.0,15567.0,279.0,5896462.0,15158.0,389.0,5847232.0,13504.0,433.0,,-0.04408842538541147,-0.04409983038526777
2022-9-15,7202215.333333333,15132.333333333334,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",9704252.0,14398.0,674.0,7560349.0,15151.0,499.0,9118557.0,14973.0,609.0,4543515.0,16285.0,279.0,6168762.0,15858.0,389.0,6117857.0,14129.0,433.0,,0.013186624019940751,0.013178891455480901
2022-8-15,7108478.5,14935.5,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",9576192.0,14208.0,674.0,7462046.000000001,14954.0,499.0,9001020.0,14780.0,609.0,4484367.0,16073.0,279.0,6088628.0,15652.0,389.0,6038618.0,13946.0,433.0,,-0.050545794791807985,-0.05054882183420917
2022-7-15,7486910.333333333,15730.666666666666,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10084388.0,14962.0,674.0,7859250.0,15750.0,499.0,9481521.0,15569.0,609.0,4722912.0,16928.0,279.0,6413054.0,16486.0,389.0,6360337.0,14689.0,433.0,,-0.02216745203089676,-0.022180782180782233
2022-6-15,7656638.5,16087.5,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10310852.0,15298.0,674.0,8036894.0,16106.0,499.0,9697716.0,15924.0,609.0,4830048.0,17312.0,279.0,6558929.0,16861.0,389.0,6505392.0,15024.0,433.0,,0.02008423120060998,0.020079260237780616
2022-5-15,7505888.5,15770.833333333334,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10105956.0,14994.0,674.0,7878710.999999999,15789.0,499.0,9508317.0,15613.0,609.0,4734909.0,16971.0,279.0,6429781.0,16529.0,389.0,6377657.0,14729.0,433.0,,-0.021725081244445166,-0.02173126427988037
2022-4-15,7672575.833333333,16121.166666666666,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10328376.0,15324.0,674.0,8053361.0,16139.0,499.0,9720858.0,15962.0,609.0,4839813.0,17347.0,279.0,6572933.0,16897.0,389.0,6520114.0,15058.0,433.0,,0.02957721216014053,0.029569234371840114
2022-3-15,7452161.666666667,15658.166666666666,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10029794.0,14881.0,674.0,7821825.0,15675.0,499.0,9443154.0,15506.0,609.0,4700871.0,16849.0,279.0,6384268.0,16412.0,389.0,6333058.0,14626.0,433.0,,-0.02537635008614847,-0.025384870741524623
2022-2-15,7646194.166666667,16066.0,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10288610.0,15265.0,674.0,8025417.0,16083.0,499.0,9690408.0,15912.0,609.0,4823073.0,17287.0,279.0,6550759.999999999,16840.0,389.0,6498897.0,15009.0,433.0,,-0.007724159512271789,-0.007730552667606805
