,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7880191.363636363,16152.0,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",11086712.0,16328.0,679.0,8671340.0,16580.0,523.0,12429235.0,16205.0,767.0,7352044.0,15676.0,469.0,6086779.0,17243.0,353.0,5910030.0,16695.0,354.0,6966942.0,15586.0,447.0,6985008.0,15732.0,444.0,7070160.0,15888.0,445.0,7002075.0,15735.0,445.0,7121780.0,16004.0,445.0,,-0.01288749530896649,-0.012889461753855636
2022-11-15,7983073.181818182,16362.90909090909,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",11231339.0,16541.0,679.0,8783785.0,16795.0,523.0,12591839.0,16417.0,767.0,7448658.0,15882.0,469.0,6166204.0,17468.0,353.0,5987910.0,16915.0,354.0,7057236.0,15788.0,447.0,7075584.0,15936.0,444.0,7162275.0,16095.0,445.0,7094190.0,15942.0,445.0,7214785.0,16213.0,445.0,,-0.04090302019778802,-0.04090712904102434
2022-10-15,8323530.7272727275,17060.81818181818,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",11710034.0,17246.0,679.0,9157730.0,17510.0,523.0,13128739.0,17117.0,767.0,7767109.000000001,16561.0,469.0,6429189.0,18213.0,353.0,6243852.0,17638.0,354.0,7357619.999999999,16460.0,447.0,7377059.999999999,16615.0,444.0,7467545.0,16781.0,445.0,7397680.0,16624.0,445.0,7522279.999999999,16904.0,445.0,,-0.04406767188883176,-0.04407068016157223
2022-9-15,8707238.454545455,17847.363636363636,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",12249839.0,18041.0,679.0,9579268.0,18316.0,523.0,13733901.999999998,17906.0,767.0,8126363.0,17327.0,469.0,6725709.0,19053.0,353.0,6532362.0,18453.0,354.0,7695998.999999999,17217.0,447.0,7716276.0,17379.0,444.0,7811530.0,17554.0,445.0,7739439.999999999,17392.0,445.0,7868935.000000001,17683.0,445.0,,0.01318468620643376,0.013180778976812135
2022-8-15,8593930.181818182,17615.18181818182,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",12090274.0,17806.0,679.0,9453748.0,18076.0,523.0,13555191.0,17673.0,767.0,8021306.999999999,17103.0,469.0,6638165.0,18805.0,353.0,6448110.0,18215.0,354.0,7595424.000000001,16992.0,447.0,7615488.0,17152.0,444.0,7709624.999999999,17325.0,445.0,7639759.999999999,17168.0,445.0,7766140.0,17452.0,445.0,,-0.050520267073400627,-0.050524799341428284
2022-7-15,9051199.181818182,18552.545454545456,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",12733287.0,18753.0,679.0,9956351.0,19037.0,523.0,14276171.000000002,18613.0,767.0,8449035.0,18015.0,469.0,6991518.0,19806.0,353.0,6791843.999999999,19186.0,354.0,7998618.0,17894.0,447.0,8019972.0,18063.0,444.0,8119915.0,18247.0,445.0,8046934.999999999,18083.0,445.0,8179545.000000001,18381.0,445.0,,-0.021916780870955832,-0.022001351422587856
2022-6-15,9254017.454545455,18969.909090909092,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",13021182.999999998,19177.0,679.0,10181241.0,19467.0,523.0,14576068.0,19004.0,767.0,8641325.0,18425.0,469.0,7149662.0,20254.0,353.0,6946188.000000001,19622.0,354.0,8179206.000000001,18298.0,447.0,8201124.0,18471.0,444.0,8303700.0,18660.0,445.0,8229830.0,18494.0,445.0,8364665.000000001,18797.0,445.0,,0.020012320608123968,0.020047123694810542
2022-5-15,9072456.545454545,18597.090909090908,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",12764521.0,18799.0,679.0,9980409.0,19083.0,523.0,14298414.0,18642.0,767.0,8470609.0,18061.0,469.0,7008815.0,19855.0,353.0,6809544.0,19236.0,354.0,8018286.0,17938.0,447.0,8039064.0,18106.0,444.0,8139940.0,18292.0,445.0,8067850.000000001,18130.0,445.0,8199570.0,18426.0,445.0,,-0.021821797567821766,-0.02177208410441811
2022-4-15,9274850.454545455,19011.0,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",13047664.000000002,19216.0,679.0,10202161.0,19507.0,523.0,14628990.999999998,19073.0,767.0,8657740.0,18460.0,469.0,7164135.0,20295.0,353.0,6959994.0,19661.0,354.0,8196639.0,18337.0,447.0,8217996.0,18509.0,444.0,8320610.0,18698.0,445.0,8245850.0,18530.0,445.0,8381575.0,18835.0,445.0,,0.02959462432435722,0.029599870020530883
2022-3-15,9008254.545454545,18464.454545454544,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",12672856.0,18664.0,679.0,9909804.0,18948.0,523.0,14208675.0,18525.0,767.0,8407763.0,17927.0,469.0,6958336.0,19712.0,353.0,6758921.999999999,19093.0,354.0,7961517.0,17811.0,447.0,7982231.999999999,17978.0,444.0,8081644.999999999,18161.0,445.0,8008220.0,17996.0,445.0,8140830.000000001,18294.0,445.0,,-0.025351303969887606,-0.025346584065530697
2022-2-15,9242565.636363637,18944.636363636364,"GRAND MAYFAIR II(Block 7,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,7座(柏瓏 II),29 錦河路",13002850.0,19150.0,679.0,10168166.0,19442.0,523.0,14578369.0,19007.0,767.0,8625848.0,18392.0,469.0,7139072.0,20224.0,353.0,6934152.0,19588.0,354.0,8169372.0,18276.0,447.0,8190468.0,18447.0,444.0,8291685.0,18633.0,445.0,8215589.999999999,18462.0,445.0,8352650.000000001,18770.0,445.0,,-0.007681540063018244,-0.007680806079884195
