,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6547431.166666667,13780.166666666666,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",8739084.0,12966.0,674.0,6932607.0,13893.0,499.0,8291534.999999999,13615.0,609.0,4205925.0,15075.0,279.0,5593820.0,14380.0,389.0,5521616.0,12752.0,433.0,,-0.02559112093718252,-0.02240588346575867
2022-11-15,6719387.833333333,14096.0,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",9076758.0,13467.0,674.0,7022926.0,14074.0,499.0,8696520.0,14280.0,609.0,4260888.0,15272.0,279.0,5666174.0,14566.0,389.0,5593061.0,12917.0,433.0,,-0.040903985623477745,-0.040914451601197555
2022-10-15,7005959.5,14697.333333333334,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",9463634.0,14041.0,674.0,7322326.0,14674.0,499.0,9066792.0,14888.0,609.0,4442796.0,15924.0,279.0,5908132.0,15188.0,389.0,5832077.0,13469.0,433.0,,-0.04411110733123447,-0.04412768955612156
2022-9-15,7329261.333333333,15375.833333333334,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",9900386.0,14689.0,674.0,7660647.999999999,15352.0,499.0,9483348.0,15572.0,609.0,4648140.0,16660.0,279.0,6181210.0,15890.0,389.0,6101836.0,14092.0,433.0,,0.013188140836101647,0.013178847949041783
2022-8-15,7233860.166666667,15175.833333333334,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",9771652.0,14498.0,674.0,7561346.999999999,15153.0,499.0,9358503.0,15367.0,609.0,4587597.0,16443.0,279.0,6101465.0,15685.0,389.0,6022597.0,13909.0,433.0,,-0.05053768575703088,-0.0505510776513769
2022-7-15,7618901.833333333,15983.833333333334,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10291980.0,15270.0,674.0,7964040.000000001,15960.0,499.0,9854838.0,16182.0,609.0,4832001.0,17319.0,279.0,6426669.0,16521.0,389.0,6343883.0,14651.0,433.0,,-0.022175745821455428,-0.022196166394779726
2022-6-15,7791688.333333333,16346.666666666666,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10525184.0,15616.0,674.0,8144678.0,16322.0,499.0,10076514.0,16546.0,609.0,4941927.0,17713.0,279.0,6573322.000000001,16898.0,389.0,6488505.0,14985.0,433.0,,0.02007662314250025,0.02006219384093777
2022-5-15,7638336.333333333,16025.166666666666,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10318266.0,15309.0,674.0,7984998.000000001,16002.0,499.0,9876153.0,16217.0,609.0,4844835.0,17365.0,279.0,6444563.0,16567.0,389.0,6361203.0,14691.0,433.0,,-0.021699436556304796,-0.021712367095691132
2022-4-15,7807760.333333333,16380.833333333334,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10547426.0,15649.0,674.0,8162143.0,16357.0,499.0,10093566.0,16574.0,609.0,4952529.0,17751.0,279.0,6588104.0,16936.0,389.0,6502794.0,15018.0,433.0,,0.029579970432952463,0.02956119124687051
2022-3-15,7583442.333333333,15910.5,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10244126.0,15199.0,674.0,7928112.000000001,15888.0,499.0,9801855.0,16095.0,609.0,4810518.0,17242.0,279.0,6399439.0,16451.0,389.0,6316604.0,14588.0,433.0,,-0.025377957814894492,-0.025390505359877524
2022-2-15,7780905.833333333,16325.0,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10511030.0,15595.0,674.0,8134697.999999999,16302.0,499.0,10055199.0,16511.0,609.0,4935789.0,17691.0,279.0,6566709.000000001,16881.0,389.0,6482009.999999999,14970.0,433.0,,-0.007703874303725322,-0.007719426209579328
