,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8437628.846153846,16411.153846153848,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",9056495.0,17185.0,527.0,8385852.999999999,17507.0,479.0,12333895.0,16165.0,763.0,12497562.0,16401.0,762.0,12642816.0,16462.0,768.0,5770797.0,17023.0,339.0,8591729.0,15707.0,547.0,6309112.0,16516.0,382.0,6357120.0,16555.0,384.0,7281088.0,15692.0,464.0,7179008.0,15472.0,464.0,5917110.0,16715.0,354.0,7366590.0,15945.0,462.0,,-0.012882755363095355,-0.012881195952417213
2022-11-15,8547747.384615384,16625.30769230769,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",9175070.0,17410.0,527.0,8494586.0,17734.0,479.0,12494125.0,16375.0,763.0,12660630.0,16615.0,762.0,12808704.0,16678.0,768.0,5846055.0,17245.0,339.0,8703864.0,15912.0,547.0,6391242.0,16731.0,382.0,6440064.0,16771.0,384.0,7376208.0,15897.0,464.0,7273200.0,15675.0,464.0,5994282.0,16933.0,354.0,7462686.0,16153.0,462.0,,-0.040907210312494335,-0.04090580305040681
2022-10-15,8912325.76923077,17334.384615384617,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",9566104.0,18152.0,527.0,8856231.0,18489.0,479.0,13025936.0,17072.0,763.0,13200126.0,17323.0,762.0,13357056.0,17392.0,768.0,6095220.0,17980.0,339.0,9074730.0,16590.0,547.0,6663990.0,17445.0,382.0,6714624.0,17486.0,384.0,7690799.999999999,16575.0,464.0,7584544.0,16346.0,464.0,6249870.0,17655.0,354.0,7781004.0,16842.0,462.0,,-0.04406911641844091,-0.04406643052580217
2022-9-15,9323190.538461538,18133.46153846154,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",10007203.0,18989.0,527.0,9263860.0,19340.0,479.0,13625654.0,17858.0,763.0,13808202.0,18121.0,762.0,13974528.000000002,18196.0,768.0,6376251.0,18809.0,339.0,9493185.0,17355.0,547.0,6971118.0,18249.0,382.0,7024128.000000001,18292.0,384.0,8045296.0,17339.0,464.0,7934864.0,17101.0,464.0,6537672.0,18468.0,354.0,8139515.999999999,17618.0,462.0,,0.013206899025616226,0.01320800130661648
2022-8-15,9201665.076923076,17897.076923076922,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",9877034.0,18742.0,527.0,9142673.0,19087.0,479.0,13447112.0,17624.0,763.0,13628370.0,17885.0,762.0,13793280.0,17960.0,768.0,6292857.0,18563.0,339.0,9369016.0,17128.0,547.0,6880202.0,18011.0,382.0,6932736.0,18054.0,384.0,7940431.999999999,17113.0,464.0,7832320.000000001,16880.0,464.0,6452358.0,18227.0,354.0,8033256.0,17388.0,462.0,,-0.05051867263638421,-0.05051807656677865
2022-7-15,9691254.384615384,18849.30769230769,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",10402453.0,19739.0,527.0,9628379.0,20101.0,479.0,14161280.0,18560.0,763.0,14353032.0,18836.0,762.0,14529024.000000002,18918.0,768.0,6627789.0,19551.0,339.0,9867880.0,18040.0,547.0,7246158.0,18969.0,382.0,7301376.0,19014.0,384.0,8362672.0,18023.0,464.0,8249920.0,17780.0,464.0,6795738.0,19197.0,354.0,8460606.0,18313.0,462.0,,-0.022149358222368076,-0.02214374077177872
2022-6-15,9910771.615384616,19276.153846153848,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",10638022.0,20186.0,527.0,9845845.0,20555.0,479.0,14480976.999999998,18979.0,763.0,14678406.0,19263.0,762.0,14860032.000000002,19349.0,768.0,6777627.0,19993.0,339.0,10091056.0,18448.0,547.0,7410035.999999999,19398.0,382.0,7466496.0,19444.0,384.0,8551984.0,18431.0,464.0,8437840.0,18185.0,464.0,6949374.0,19631.0,354.0,8652336.0,18728.0,462.0,,0.020112708016956526,0.020114065190576902
2022-5-15,9715369.23076923,18896.076923076922,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",10428803.0,19789.0,527.0,9650892.0,20148.0,479.0,14194852.0,18604.0,763.0,14388846.0,18883.0,762.0,14568192.0,18969.0,768.0,6644060.999999999,19599.0,339.0,9891948.0,18084.0,547.0,7263729.999999999,19015.0,382.0,7319424.0,19061.0,384.0,8383088.0,18067.0,464.0,8272191.999999999,17828.0,464.0,6812376.000000001,19244.0,354.0,8481396.0,18358.0,462.0,,-0.021706439772016917,-0.021708482676224716
2022-4-15,9930934.461538462,19315.384615384617,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",10660156.0,20228.0,527.0,9865484.0,20596.0,479.0,14509971.000000002,19017.0,763.0,14708124.0,19302.0,762.0,14890752.0,19389.0,768.0,6791526.000000001,20034.0,339.0,10111295.0,18485.0,547.0,7424934.000000001,19437.0,382.0,7481856.0,19484.0,384.0,8569152.0,18468.0,464.0,8455472.0,18223.0,464.0,6963534.0,19671.0,354.0,8669892.0,18766.0,462.0,,0.029607567736942286,0.029604723634574448
2022-3-15,9645358.846153846,18760.0,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",10353442.0,19646.0,527.0,9582395.0,20005.0,479.0,14094136.0,18472.0,763.0,14285213.999999998,18747.0,762.0,14460672.0,18829.0,768.0,6596262.0,19458.0,339.0,9820838.0,17954.0,547.0,7211778.0,18879.0,382.0,7266816.0,18924.0,384.0,8322768.000000001,17937.0,464.0,8211408.000000001,17697.0,464.0,6763524.0,19106.0,354.0,8420412.0,18226.0,462.0,,-0.02534800742326293,-0.025349388345595747
2022-2-15,9896208.0,19247.923076923078,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",10622739.0,20157.0,527.0,9832433.0,20527.0,479.0,14461139.000000002,18953.0,763.0,14657070.0,19235.0,762.0,14835456.0,19317.0,768.0,6767796.0,19964.0,339.0,10076287.0,18421.0,547.0,7399340.000000001,19370.0,382.0,7455744.0,19416.0,384.0,8539456.0,18404.0,464.0,8423920.0,18155.0,464.0,6939462.0,19603.0,354.0,8639862.0,18701.0,462.0,,-0.0076912033991893836,-0.007693436388367836
2022-1-15,9972911.692307692,19397.153846153848,"GRAND MAYFAIR I(Block 5,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,5座(柏瓏 I),29 錦河路",10704951.0,20313.0,527.0,9909552.0,20688.0,479.0,14574826.0,19102.0,763.0,14770608.000000002,19384.0,762.0,14948352.0,19464.0,768.0,6820341.0,20119.0,339.0,10154508.0,18564.0,547.0,7456640.0,19520.0,382.0,7513728.000000001,19567.0,384.0,8605808.0,18547.0,464.0,8488416.0,18294.0,464.0,6993270.0,19755.0,354.0,8706852.0,18846.0,462.0,,-0.04047599810300484,-0.04047929802398009
