,lumpSum_avg,npsf_avg,final_address,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B10,npsf_B10,nfa_B10,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7866353.909090909,16617.81818181818,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",13272168.0,16068.0,826.0,11104832.0,16624.0,668.0,7717248.0,16704.0,462.0,8192934.0,15786.0,519.0,8681319.0,16349.0,531.0,7717806.0,16386.0,471.0,6000345.0,17095.0,351.0,6114944.0,17372.0,352.0,6073760.0,17255.0,352.0,5783360.0,16430.0,352.0,5871177.0,16727.0,351.0,,-0.01285898500330962,-0.012852637490819774
2022-11-15,7968824.909090909,16834.18181818182,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",13445628.0,16278.0,826.0,11249788.0,16841.0,668.0,7817964.000000001,16922.0,462.0,8299329.0,15991.0,519.0,8794953.0,16563.0,531.0,7817657.999999999,16598.0,471.0,6078267.0,17317.0,351.0,6194496.0,17598.0,352.0,6152960.0,17480.0,352.0,5858336.0,16643.0,352.0,5947695.0,16945.0,351.0,,-0.040889201323332625,-0.040886725022012516
2022-10-15,8308555.090909091,17551.81818181818,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",14019698.0,16973.0,826.0,11729412.0,17559.0,668.0,8151528.0,17644.0,462.0,8652249.0,16671.0,519.0,9169839.0,17269.0,531.0,8150655.0,17305.0,471.0,6337656.0,18056.0,351.0,6458848.0,18349.0,352.0,6415200.0,18225.0,352.0,6107904.0,17352.0,352.0,6201117.0,17667.0,351.0,,-0.04405827323804423,-0.04405175102863346
2022-9-15,8691487.0,18360.636363636364,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",14667281.999999998,17757.0,826.0,12269824.0,18368.0,668.0,8527134.0,18457.0,462.0,9050841.0,17439.0,519.0,9592515.0,18065.0,531.0,8525571.0,18101.0,471.0,6629688.0,18888.0,351.0,6756288.0,19194.0,352.0,6710880.0,19065.0,352.0,6389152.0,18151.0,352.0,6487182.0,18482.0,351.0,,0.013234699586295973,0.013239484668486234
2022-8-15,8577960.272727273,18120.727272727272,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",14476476.0,17526.0,826.0,12109504.0,18128.0,668.0,8415792.0,18216.0,462.0,8931990.0,17210.0,519.0,9467730.0,17830.0,531.0,8413944.0,17864.0,471.0,6542991.0,18641.0,351.0,6668288.0,18944.0,352.0,6623232.0,18816.0,352.0,6305376.0,17913.0,352.0,6402240.0,18240.0,351.0,,-0.0505063278605421,-0.05050254846853719
2022-7-15,9034246.909090908,19084.545454545456,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15247134.0,18459.0,826.0,12754124.0,19093.0,668.0,8863470.0,19185.0,462.0,9406356.0,18124.0,519.0,9971649.0,18779.0,531.0,8860923.0,18813.0,471.0,6891183.0,19633.0,351.0,7023104.0,19952.0,352.0,6975584.0,19817.0,352.0,6640128.0,18864.0,352.0,6743061.0,19211.0,351.0,,-0.022127916035542206,-0.022121399857461532
2022-6-15,9238679.636363637,19516.272727272728,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15593228.0,18878.0,826.0,13042700.0,19525.0,668.0,9063978.0,19619.0,462.0,9618627.0,18533.0,519.0,10197855.0,19205.0,531.0,9061098.0,19238.0,471.0,7047027.0,20077.0,351.0,7181855.999999999,20403.0,352.0,7133632.0,20266.0,352.0,6790080.000000001,19290.0,352.0,6895395.0,19645.0,351.0,,0.02011057394740634,0.020109576282864472
2022-5-15,9056547.272727273,19131.545454545456,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15285956.0,18506.0,826.0,12785520.0,19140.0,668.0,8885184.0,19232.0,462.0,9429192.0,18168.0,519.0,9996606.0,18826.0,531.0,8882118.0,18858.0,471.0,6908382.0,19682.0,351.0,7040352.0,20001.0,352.0,6992832.0,19866.0,352.0,6656320.000000001,18910.0,352.0,6759558.000000001,19258.0,351.0,,-0.021724147652711467,-0.021727306957479597
2022-4-15,9257662.090909092,19556.454545454544,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15624615.999999998,18916.0,826.0,13069419.999999998,19565.0,668.0,9082458.0,19659.0,462.0,9638868.0,18572.0,519.0,10218564.0,19244.0,531.0,9079938.0,19278.0,471.0,7061769.0,20119.0,351.0,7196640.000000001,20445.0,352.0,7148064.0,20307.0,352.0,6804160.000000001,19330.0,352.0,6909786.0,19686.0,351.0,,0.02959677578187736,0.02959251069695301
2022-3-15,8991541.454545455,18994.363636363636,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15174445.999999998,18371.0,826.0,12694004.0,19003.0,668.0,8821428.0,19094.0,462.0,9362241.0,18039.0,519.0,9924390.0,18690.0,531.0,8819475.0,18725.0,471.0,6858540.0,19540.0,351.0,6989664.0,19857.0,352.0,6942495.999999999,19723.0,352.0,6609152.0,18776.0,352.0,6711120.0,19120.0,351.0,,-0.025368869229023927,-0.025375738182089602
2022-2-15,9225584.090909092,19488.909090909092,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15568448.0,18848.0,826.0,13023996.000000002,19497.0,668.0,9051042.0,19591.0,462.0,9606690.0,18510.0,519.0,10182456.0,19176.0,531.0,9049323.0,19213.0,471.0,7037199.0,20049.0,351.0,7171647.999999999,20374.0,352.0,7123424.000000001,20237.0,352.0,6781632.0,19266.0,352.0,6885566.999999999,19617.0,351.0,,-0.0077013924028365155,-0.007706799109436502
