,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8506755.3,16646.6,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",15936588.0,16362.0,974.0,12116562.0,15901.0,762.0,8087388.0,17062.0,474.0,6874019.0,17671.0,389.0,8040915.999999999,16822.0,478.0,7267260.0,15972.0,455.0,6127021.0,17357.0,353.0,6064256.0,17228.0,352.0,7144263.0,15771.0,453.0,7409280.0,16320.0,454.0,,-0.012880327019747617,-0.012885512841039337
2022-11-15,8617754.8,16863.9,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",16145023.999999998,16576.0,974.0,12273534.0,16107.0,762.0,8192616.0,17284.0,474.0,6963878.0,17902.0,389.0,8146076.000000001,17042.0,478.0,7361445.0,16179.0,455.0,6206799.0,17583.0,353.0,6144160.0,17455.0,352.0,7238034.0,15978.0,453.0,7505982.0,16533.0,454.0,,-0.04090832683533374,-0.040902912455710205
2022-10-15,8985329.6,17583.1,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",16835590.0,17285.0,974.0,12796266.0,16793.0,762.0,8541480.0,18020.0,474.0,7260685.0,18665.0,389.0,8493104.0,17768.0,478.0,7674940.0,16868.0,455.0,6471549.0,18333.0,353.0,6407104.0,18202.0,352.0,7546980.0,16660.0,453.0,7825598.0,17237.0,454.0,,-0.04406532306225852,-0.04406423973556017
2022-9-15,9399522.6,18393.6,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",17612842.0,18083.0,974.0,13385292.0,17566.0,762.0,8934426.0,18849.0,474.0,7595225.0,19525.0,389.0,8884586.0,18587.0,478.0,8028020.000000001,17644.0,455.0,6769834.0,19178.0,353.0,6703136.0,19043.0,352.0,7895336.999999999,17429.0,453.0,8186528.0,18032.0,454.0,,0.0131914307504859,0.013192612137203241
2022-8-15,9277143.8,18154.1,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",17384926.0,17849.0,974.0,13210032.0,17336.0,762.0,8817348.0,18602.0,474.0,7496030.0,19270.0,389.0,8768910.0,18345.0,478.0,7922915.0,17413.0,455.0,6681584.0,18928.0,353.0,6616896.0,18798.0,352.0,7792959.0,17203.0,453.0,8079837.999999999,17797.0,454.0,,-0.05052046320823822,-0.05051778242677829
2022-7-15,9770767.5,19120.0,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",18311200.0,18800.0,974.0,13912596.000000002,18258.0,762.0,9285660.0,19590.0,474.0,7894755.0,20295.0,389.0,9235438.0,19321.0,478.0,8343790.0,18338.0,455.0,7037055.0,19935.0,353.0,6969952.0,19801.0,352.0,8207907.0,18119.0,453.0,8509322.0,18743.0,454.0,,-0.022151639637321363,-0.022149940418654812
2022-6-15,9992109.1,19553.1,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",18727098.0,19227.0,974.0,14227302.0,18671.0,762.0,9495642.0,20033.0,474.0,8073695.0,20755.0,389.0,9444324.0,19758.0,478.0,8532160.0,18752.0,455.0,7196258.0,20386.0,353.0,7128704.000000001,20252.0,352.0,8394090.0,18530.0,453.0,8701818.0,19167.0,454.0,,0.020097352283129366,0.020106742071296813
2022-5-15,9795250.5,19167.7,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",18358926.0,18849.0,974.0,13947648.0,18304.0,762.0,9307938.0,19637.0,474.0,7914593.999999999,20346.0,389.0,9258382.0,19369.0,478.0,8363810.0,18382.0,455.0,7054352.0,19984.0,353.0,6987904.000000001,19852.0,352.0,8228745.000000001,18165.0,453.0,8530206.0,18789.0,454.0,,-0.021687959099512488,-0.021691752540487053
2022-4-15,10012399.0,19592.7,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",18764110.0,19265.0,974.0,14257782.0,18711.0,762.0,9515076.0,20074.0,474.0,8090032.999999999,20797.0,389.0,9463444.0,19798.0,478.0,8549905.0,18791.0,455.0,7210731.000000001,20427.0,353.0,7142080.0,20290.0,352.0,8410851.0,18567.0,453.0,8719978.0,19207.0,454.0,,0.02960149850202143,0.029601563895866434
2022-3-15,9724538.1,19029.4,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",18223540.0,18710.0,974.0,13848587.999999998,18174.0,762.0,9242526.0,19499.0,474.0,7857411.000000001,20199.0,389.0,9191462.0,19229.0,478.0,8304660.0,18252.0,455.0,7003520.000000001,19840.0,353.0,6935808.000000001,19704.0,352.0,8168496.0,18032.0,453.0,8469370.0,18655.0,454.0,,-0.025349698587731395,-0.02535289176620026
2022-2-15,9977463.8,19524.4,"GRAND MAYFAIR II(Block 9,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,9座(柏瓏 II),29 錦河路",18695930.0,19195.0,974.0,14209776.000000002,18648.0,762.0,9483318.0,20007.0,474.0,8062025.0,20725.0,389.0,9430940.0,19730.0,478.0,8521240.0,18728.0,455.0,7186020.999999999,20357.0,353.0,7115328.0,20214.0,352.0,8380500.0,18500.0,453.0,8689560.0,19140.0,454.0,,-0.007689289685851697,-0.007694731599223292
