,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6896497.428571428,15971.857142857143,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",6867128.0,14549.0,472.0,6420104.0,18034.0,356.0,7722259.999999999,16972.0,455.0,7212542.0,15089.0,478.0,5784714.0,16341.0,354.0,7179741.0,15507.0,463.0,7088993.0,15311.0,463.0,,-0.012846869673081573,-0.012846774620777324
2022-11-15,6986248.857142857,16179.714285714286,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",6956336.0,14738.0,472.0,6503408.0,18268.0,356.0,7823269.999999999,17194.0,455.0,7305752.0,15284.0,478.0,5860116.0,16554.0,354.0,7273730.0,15710.0,463.0,7181130.0,15510.0,463.0,,-0.040841943749625687,-0.04084484379366704
2022-10-15,7283730.571428572,16868.714285714286,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",7252751.999999999,15366.0,472.0,6780376.0,19046.0,356.0,8156785.000000001,17927.0,455.0,7615973.999999999,15933.0,478.0,6110040.0,17260.0,354.0,7583476.999999999,16379.0,463.0,7486710.0,16170.0,463.0,,-0.04401691695901311,-0.04401787593711037
2022-9-15,7619099.857142857,17645.428571428572,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",7586455.999999999,16073.0,472.0,7092232.0,19922.0,356.0,8532615.0,18753.0,455.0,7966347.999999999,16666.0,478.0,6391824.0,18056.0,354.0,7933042.0,17134.0,463.0,7831182.0,16914.0,463.0,,0.0132657745543312,0.01326486247036529
2022-8-15,7519349.857142857,17414.428571428572,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",7487336.0,15863.0,472.0,6999315.999999999,19661.0,356.0,8421140.0,18508.0,455.0,7861188.0,16446.0,478.0,6308280.0,17820.0,354.0,7829793.0,16911.0,463.0,7728396.0,16692.0,463.0,,-0.050464953408687174,-0.05046736251752604
2022-7-15,7918980.857142857,18340.0,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",7885232.0,16706.0,472.0,7371335.999999999,20706.0,356.0,8869315.0,19493.0,455.0,8278004.000000001,17318.0,478.0,6643872.0,18768.0,354.0,8246030.0,17810.0,463.0,8139076.999999999,17579.0,463.0,,-0.0220972542535115,-0.022097637891240973
2022-6-15,8097922.714285715,18754.428571428572,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",8063648.0,17084.0,472.0,7537588.0,21173.0,356.0,9069970.0,19934.0,455.0,8464424.0,17708.0,478.0,6794322.000000001,19193.0,354.0,8432619.0,18213.0,463.0,8322888.0,17976.0,463.0,,0.02015715962039555,0.020157436260072936
2022-5-15,7937916.857142857,18383.85714285714,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",7904112.0,16746.0,472.0,7388424.0,20754.0,356.0,8891155.0,19541.0,455.0,8296645.999999999,17357.0,478.0,6660155.999999999,18814.0,354.0,8266402.0,17854.0,463.0,8158522.999999999,17621.0,463.0,,-0.021732240101880684,-0.021733842154075478
2022-4-15,8114257.857142857,18792.285714285714,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",8079696.0,17118.0,472.0,7552896.0,21216.0,356.0,9088625.0,19975.0,455.0,8481154.0,17743.0,478.0,6808128.0,19232.0,354.0,8449750.0,18250.0,463.0,8339556.0,18012.0,463.0,,0.029542011920143496,0.029545045432844752
2022-3-15,7881424.714285715,18253.0,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",7847944.0,16627.0,472.0,7336092.0,20607.0,356.0,8827455.0,19401.0,455.0,8238329.999999999,17235.0,478.0,6612366.0,18679.0,354.0,8207138.0,17726.0,463.0,8100648.0,17496.0,463.0,,-0.02539274465754382,-0.02539282990083902
2022-2-15,8086770.0,18728.571428571428,"GRAND MAYFAIR I(Block 2,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,2座(柏瓏 I),29 錦河路",8052320.0,17060.0,472.0,7527620.0,21145.0,356.0,9056775.0,19905.0,455.0,8453908.0,17686.0,478.0,6784410.0,19165.0,354.0,8420581.0,18187.0,463.0,8311776.0,17952.0,463.0,,-0.007744107124405097,-0.0077427851320361896
