,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4319299.0,10059.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4322804.0,9892.0,437.0,4315794.0,10227.0,422.0,,-0.012903017179074827,-0.012903542341281549
2022-11-15,4375759.5,10191.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4379177.0,10021.0,437.0,4372342.0,10361.0,422.0,,-0.040847436821996874,-0.04084705882352946
2022-10-15,4562110.0,10625.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4565776.0,10448.0,437.0,4558444.0,10802.0,422.0,,-0.04408481499757466,-0.044084570400359846
2022-9-15,4772505.0,11115.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4776410.0,10930.0,437.0,4768600.0,11300.0,422.0,,0.013263924031081231,0.013264050321345477
2022-8-15,4710031.5,10969.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4713919.0,10787.0,437.0,4706144.0,11152.0,422.0,,-0.050506660167418116,-0.05050636198390024
2022-7-15,4960573.5,11553.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4964757.0,11361.0,437.0,4956390.0,11745.0,422.0,,-0.022133595802284134,-0.02213381861272168
2022-6-15,5072854.0,11814.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5077066.0,11618.0,437.0,5068642.0,12011.0,422.0,,0.020823445687178532,0.020823432842268952
2022-5-15,4969374.5,11573.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4973497.0,11381.0,437.0,4965252.0,11766.0,422.0,,-0.020936760315246827,-0.020937314947973906
2022-4-15,5075642.0,11821.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5079688.0,11624.0,437.0,5071596.0,12018.0,422.0,,0.0297930651651781,0.029793536022301614
2022-3-15,4928798.0,11479.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4932856.0,11288.0,437.0,4924740.0,11670.0,422.0,,-0.02534416658221217,-0.02534493738059862
2022-2-15,5056962.5,11777.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5060897.0,11581.0,437.0,5053028.0,11974.0,422.0,,-0.007709197183301764,-0.007709158311567932
