,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5562891.0,8634.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5245087.0,8641.0,607.0,5245087.0,8641.0,607.0,6198499.0,8621.0,719.0,,-0.01291936370881308,-0.012918222696440829
2022-11-15,5635700.666666667,8747.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5313678.0,8754.0,607.0,5313678.0,8754.0,607.0,6279746.0,8734.0,719.0,,-0.04092802346368163,-0.04093268035962272
2022-10-15,5876202.0,9120.666666666666,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5540696.0,9128.0,607.0,5540696.0,9128.0,607.0,6547214.0,9106.0,719.0,,-0.04402600237976628,-0.044022080916777284
2022-9-15,6146822.0,9540.666666666666,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5795636.0,9548.0,607.0,5795636.0,9548.0,607.0,6849194.0,9526.0,719.0,,0.013169330051568062,0.013168141592920346
2022-8-15,6066924.666666667,9416.666666666666,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5720368.0,9424.0,607.0,5720368.0,9424.0,607.0,6760038.0,9402.0,719.0,,-0.050484628730236736,-0.05048400107555806
2022-7-15,6389496.0,9917.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6024475.0,9925.0,607.0,6024475.0,9925.0,607.0,7119537.999999999,9902.0,719.0,,-0.022150322807671152,-0.022152106750805145
2022-6-15,6534231.333333333,10142.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6161050.0,10150.0,607.0,6161050.0,10150.0,607.0,7280594.0,10126.0,719.0,,0.0200803848171911,0.020082475609347172
2022-5-15,6405604.333333333,9942.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6039650.0,9950.0,607.0,6039650.0,9950.0,607.0,7137512.999999999,9927.0,719.0,,-0.021710928522298722,-0.021712748860244657
2022-4-15,6547762.333333333,10163.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6173797.0,10171.0,607.0,6173797.0,10171.0,607.0,7295692.999999999,10147.0,719.0,,0.029649898464888524,0.029651143156259385
2022-3-15,6359212.333333333,9870.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5995946.0,9878.0,607.0,5995946.0,9878.0,607.0,7085745.0,9855.0,719.0,,-0.02537909428520435,-0.02537686788229876
2022-2-15,6524806.0,10127.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6151945.0,10135.0,607.0,6151945.0,10135.0,607.0,7270527.999999999,10112.0,719.0,,-0.007704799343580371,-0.007707884251094033
2022-1-15,6575468.666666667,10206.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6199898.0,10214.0,607.0,6199898.0,10214.0,607.0,7326609.999999999,10190.0,719.0,,-0.040488919348931174,-0.040488874960827315
2021-12-15,6852936.666666667,10636.666666666666,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6461514.999999999,10645.0,607.0,6461514.999999999,10645.0,607.0,7635780.0,10620.0,719.0,,0.030883569502572872,0.030884538347224932
2021-11-15,6647634.0,10318.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6267882.0,10326.0,607.0,6267882.0,10326.0,607.0,7407138.0,10302.0,719.0,,-0.007408068080504537,-0.007407407407407418
2021-10-15,6697247.666666667,10395.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6314621.0,10403.0,607.0,6314621.0,10403.0,607.0,7462501.0,10379.0,719.0,,0.011679885928260081,0.011678832116788218
2021-9-15,6619927.666666667,10275.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6241781.0,10283.0,607.0,6241781.0,10283.0,607.0,7376221.0,10259.0,719.0,,0.01088489585557606,0.010887744728298232
2021-8-15,6548646.333333333,10164.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6174404.0,10172.0,607.0,6174404.0,10172.0,607.0,7297131.000000001,10149.0,719.0,,-0.0012409540877998948,-0.0012446365988666441
2021-7-15,6556783.0,10177.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6182295.0,10185.0,607.0,6182295.0,10185.0,607.0,7305759.0,10161.0,719.0,,0.002067931970219039,0.002067743205986572
2021-6-15,6543252.0,10156.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6169548.0,10164.0,607.0,6169548.0,10164.0,607.0,7290660.0,10140.0,719.0,,-0.004314117591203592,-0.004313725490196041
2021-5-15,6571602.666666667,10200.0,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6196256.0,10208.0,607.0,6196256.0,10208.0,607.0,7322296.0,10184.0,719.0,,0.02756833995408603,0.02756976392760002
2021-4-15,6395295.0,9926.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6029938.0,9934.0,607.0,6029938.0,9934.0,607.0,7126009.0,9911.0,719.0,,-0.006605651197819862,-0.006605063882309747
2021-3-15,6437821.0,9992.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",6070000.0,10000.0,607.0,6070000.0,10000.0,607.0,7173463.0,9977.0,719.0,,0.03031726427956527,0.03031448702526207
2021-2-15,6248387.0,9698.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5891542.0,9706.0,607.0,5891542.0,9706.0,607.0,6962077.0,9683.0,719.0,,0.02263336331104515,0.02263540824575605
2021-1-15,6110095.0,9483.666666666666,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5761037.0,9491.0,607.0,5761037.0,9491.0,607.0,6808211.0,9469.0,719.0,,-0.03003423454963272,-0.030035456157098128
2020-12-15,6299289.333333333,9777.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5939495.0,9785.0,607.0,5939495.0,9785.0,607.0,7018878.0,9762.0,719.0,,-0.0006133436026167782,-0.0006132879045996908
2020-11-15,6303155.333333333,9783.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5943137.0,9791.0,607.0,5943137.0,9791.0,607.0,7023191.999999999,9768.0,719.0,,,
