,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8330534.769230769,16793.0,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",9012376.0,16628.0,542.0,8735573.0,16207.0,539.0,12237576.0,16718.0,732.0,12348435.0,16755.0,737.0,9000908.0,16919.0,532.0,6132171.0,18089.0,339.0,8851007.0,16181.0,547.0,6561963.0,17223.0,381.0,6695808.0,17437.0,384.0,7484784.0,16131.0,464.0,7544726.0,16366.0,461.0,6161025.0,17355.0,355.0,7530600.0,16300.0,462.0,,-0.012911265279934692,-0.012908972527174267
2022-11-15,8439499.384615384,17012.615384615383,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",9129448.0,16844.0,542.0,8850380.0,16420.0,539.0,12397152.0,16936.0,732.0,12509838.0,16974.0,737.0,9119544.0,17142.0,532.0,6212175.0,18325.0,339.0,8967518.0,16394.0,547.0,6646926.0,17446.0,381.0,6783360.0,17665.0,384.0,7583615.999999999,16344.0,464.0,7642919.000000001,16579.0,461.0,6241610.0,17582.0,355.0,7629006.0,16513.0,462.0,,-0.0409188549377939,-0.040915181765749375
2022-10-15,8799567.615384616,17738.384615384617,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",9518062.0,17561.0,542.0,9228758.0,17122.0,539.0,12925656.0,17658.0,732.0,13043426.0,17698.0,737.0,9509500.0,17875.0,532.0,6476934.0,19106.0,339.0,9350965.0,17095.0,547.0,6930009.0,18189.0,381.0,7072512.0,18418.0,384.0,7907952.0,17043.0,464.0,7968846.0,17286.0,461.0,6507505.0,18331.0,355.0,7954254.0,17217.0,462.0,,-0.04407057856719132,-0.044069974712929505
2022-9-15,9205248.23076923,18556.153846153848,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",9955998.0,18369.0,542.0,9654568.0,17912.0,539.0,13521504.0,18472.0,732.0,13644081.0,18513.0,737.0,9948932.0,18701.0,532.0,6775593.0,19987.0,339.0,9783095.0,17885.0,547.0,7248906.0,19026.0,381.0,7398527.999999999,19267.0,384.0,8273120.0,17830.0,464.0,8335802.0,18082.0,461.0,6807480.0,19176.0,355.0,8320620.000000001,18010.0,462.0,,0.013180422073832743,0.013184034675817191
2022-8-15,9085497.538461538,18314.69230769231,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",9825376.0,18128.0,542.0,9529520.0,17680.0,539.0,13345092.0,18231.0,732.0,13466464.0,18272.0,737.0,9820720.0,18460.0,532.0,6687114.0,19726.0,339.0,9656738.0,17654.0,547.0,7154037.0,18777.0,381.0,7301760.0,19015.0,384.0,8166400.0,17600.0,464.0,8227467.0,17847.0,461.0,6718730.0,18926.0,355.0,8212050.0,17775.0,462.0,,-0.05053699419938462,-0.050533770931118216
2022-7-15,9569090.615384616,19289.46153846154,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",10347864.0,19092.0,542.0,10037258.0,18622.0,539.0,14055132.0,19201.0,732.0,14182828.000000002,19244.0,737.0,10344208.0,19444.0,532.0,7043064.0,20776.0,339.0,10172012.0,18596.0,547.0,7533894.0,19774.0,381.0,7690368.0,20027.0,384.0,8601632.0,18538.0,464.0,8664956.0,18796.0,461.0,7075860.0,19932.0,355.0,8649102.0,18721.0,462.0,,-0.022158027126818358,-0.022156797753904334
2022-6-15,9785927.461538462,19726.53846153846,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",10581466.0,19523.0,542.0,10265255.0,19045.0,539.0,14373552.0,19636.0,732.0,14503423.0,19679.0,737.0,10579884.0,19887.0,532.0,7202394.0,21246.0,339.0,10403393.0,19019.0,547.0,7704201.000000001,20221.0,381.0,7864319.999999999,20480.0,384.0,8797440.0,18960.0,464.0,8860881.0,19221.0,461.0,7236320.000000001,20384.0,355.0,8844528.0,19144.0,462.0,,0.020102350819389603,0.020104140561913564
2022-5-15,9593083.923076924,19337.76923076923,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",10371712.0,19136.0,542.0,10063669.0,18671.0,539.0,14089536.000000002,19248.0,732.0,14217466.999999998,19291.0,737.0,10372404.0,19497.0,532.0,7060353.000000001,20827.0,339.0,10199362.0,18646.0,547.0,7551801.0,19821.0,381.0,7709184.0,20076.0,384.0,8624832.0,18588.0,464.0,8686162.0,18842.0,461.0,7093255.0,19981.0,355.0,8670354.0,18767.0,462.0,,-0.021692346275942187,-0.021691670071799618
2022-4-15,9805794.615384616,19766.53846153846,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",10602604.0,19562.0,542.0,10286276.0,19084.0,539.0,14402832.0,19676.0,732.0,14532903.000000002,19719.0,737.0,10601696.0,19928.0,532.0,7216971.0,21289.0,339.0,10424726.0,19058.0,547.0,7719441.000000001,20261.0,381.0,7880064.0,20521.0,384.0,8815536.0,18999.0,464.0,8878860.0,19260.0,461.0,7250874.999999999,20425.0,355.0,8862546.0,19183.0,462.0,,0.02960899020823593,0.029606212135782073
2022-3-15,9523804.384615384,19198.153846153848,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",10298542.0,19001.0,542.0,9989826.0,18534.0,539.0,13988520.0,19110.0,732.0,14115760.999999998,19153.0,737.0,10295796.0,19353.0,532.0,7009503.0,20677.0,339.0,10123876.0,18508.0,547.0,7498079.999999999,19680.0,381.0,7653888.0,19932.0,384.0,8561264.0,18451.0,464.0,8623927.0,18707.0,461.0,7042490.0,19838.0,355.0,8607984.0,18632.0,462.0,,-0.02533424132494666,-0.02533741564608838
2022-2-15,9771354.23076923,19697.23076923077,"GRAND MAYFAIR I(Block 6,Phase 1A,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1A期,6座(柏瓏 I),29 錦河路",10566832.0,19496.0,542.0,10249085.0,19015.0,539.0,14352324.000000002,19607.0,732.0,14482787.000000002,19651.0,737.0,10562328.0,19854.0,532.0,7191885.0,21215.0,339.0,10386436.0,18988.0,547.0,7693914.0,20194.0,381.0,7852800.0,20450.0,384.0,8783056.0,18929.0,464.0,8848434.0,19194.0,461.0,7225670.0,20354.0,355.0,8832054.0,19117.0,462.0,,-0.00766604347835842,-0.00766926442492144
