,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,1816464.0,6396.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",1816464.0,6396.0,284.0,,-0.012810618922673211,-0.012810618922673211
2022-11-15,1840036.0,6479.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",1840036.0,6479.0,284.0,,-0.04100059206631135,-0.04100059206631146
2022-10-15,1918703.9999999998,6756.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",1918703.9999999998,6756.0,284.0,,-0.04400735814348389,-0.04400735814348378
2022-9-15,2007028.0,7067.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2007028.0,7067.0,284.0,,0.013189964157706235,0.013189964157706013
2022-8-15,1980899.9999999998,6975.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",1980899.9999999998,6975.0,284.0,,-0.050503675469643405,-0.050503675469643294
2022-7-15,2086264.0,7346.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2086264.0,7346.0,284.0,,-0.022228137894316546,-0.022228137894316546
2022-6-15,2133692.0,7513.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2133692.0,7513.0,284.0,,0.020233568712656247,0.020233568712656247
2022-5-15,2091376.0,7364.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2091376.0,7364.0,284.0,,-0.021785334750265672,-0.021785334750265672
2022-4-15,2137952.0,7528.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2137952.0,7528.0,284.0,,0.02968130214744913,0.02968130214744913
2022-3-15,2076324.0,7311.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2076324.0,7311.0,284.0,,-0.02545987736603572,-0.02545987736603572
2022-2-15,2130568.0,7502.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2130568.0,7502.0,284.0,,-0.007671957671957719,-0.007671957671957719
2022-1-15,2147040.0,7560.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2147040.0,7560.0,284.0,,-0.040487371493844404,-0.040487371493844404
2021-12-15,2237636.0,7879.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2237636.0,7879.0,284.0,,0.03101282386809734,0.03101282386809734
2021-11-15,2170328.0,7642.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2170328.0,7642.0,284.0,,-0.007532467532467502,-0.007532467532467502
