,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8724354.57142857,16828.285714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",9131723.0,16573.0,551.0,8711889.0,17389.0,501.0,13170250.0,17375.0,758.0,7541394.0,16611.0,454.0,7530798.0,16698.0,451.0,7538014.0,16714.0,451.0,7446414.0,16438.0,453.0,,-0.012802063494123939,-0.012813529209650842
2022-11-15,8837492.714285715,17046.714285714286,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",9250188.0,16788.0,551.0,8825616.0,17616.0,501.0,13339284.0,17598.0,758.0,7639912.0,16828.0,454.0,7628214.000000001,16914.0,451.0,7636332.0,16932.0,451.0,7542903.000000001,16651.0,453.0,,-0.02562407992376159,-0.030492362690932584
2022-10-15,9069900.57142857,17582.85714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",9644153.0,17503.0,551.0,9201867.0,18367.0,501.0,12898886.0,17017.0,758.0,7965430.000000001,17545.0,454.0,7952934.0,17634.0,451.0,7961954.000000001,17654.0,451.0,7864080.000000001,17360.0,453.0,,-0.044034894539285,-0.04403883495145633
2022-9-15,9487690.0,18392.85714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10088259.0,18309.0,551.0,9626214.0,19214.0,501.0,13492400.0,17800.0,758.0,8332715.999999999,18354.0,454.0,8319146.000000001,18446.0,451.0,8329068.0,18468.0,451.0,8226027.0,18159.0,453.0,,0.013247388383795355,0.01324498099427851
2022-8-15,9363646.142857144,18152.428571428572,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",9956019.0,18069.0,551.0,9500463.0,18963.0,501.0,13315786.0,17567.0,758.0,8224210.0,18115.0,454.0,8210455.000000001,18205.0,451.0,8220377.0,18227.0,451.0,8118213.0,17921.0,453.0,,-0.050461213290684426,-0.050463308922433114
2022-7-15,9861257.142857144,19117.14285714286,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10484979.0,19029.0,551.0,10005972.0,19972.0,501.0,14022999.999999998,18500.0,758.0,8661412.0,19078.0,454.0,8646572.0,19172.0,451.0,8657396.0,19196.0,451.0,8549469.0,18873.0,453.0,,-0.022103272704523724,-0.022105301618619455
2022-6-15,10084149.857142856,19549.285714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10721358.0,19458.0,551.0,10232424.0,20424.0,501.0,14339843.999999998,18918.0,758.0,8857540.0,19510.0,454.0,8841855.0,19605.0,451.0,8853581.0,19631.0,451.0,8742447.0,19299.0,453.0,,0.020111688344006895,0.02011226490342688
2022-5-15,9885339.0,19163.85714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10510325.0,19075.0,551.0,10030521.0,20021.0,501.0,14057110.0,18545.0,758.0,8682750.0,19125.0,454.0,8667769.0,19219.0,451.0,8679044.0,19244.0,451.0,8569854.0,18918.0,453.0,,-0.021742167476408336,-0.021738813371448673
2022-4-15,10105044.57142857,19589.714285714286,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10743949.0,19499.0,551.0,10252965.0,20465.0,501.0,14370164.0,18958.0,758.0,8875700.0,19550.0,454.0,8860346.0,19646.0,451.0,8871621.0,19671.0,451.0,8760567.0,19339.0,453.0,,0.029556832865725413,0.029559054290455133
2022-3-15,9814945.857142856,19027.285714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10435940.0,18940.0,551.0,9958377.0,19877.0,501.0,13957812.0,18414.0,758.0,8620552.0,18988.0,454.0,8606433.0,19083.0,451.0,8616355.0,19105.0,451.0,8509152.0,18784.0,453.0,,-0.02539258893967633,-0.02539129671230278
2022-2-15,10070666.142857144,19523.0,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10708134.0,19434.0,551.0,10217394.0,20394.0,501.0,14321652.0,18894.0,758.0,8844828.0,19482.0,454.0,8830580.0,19580.0,451.0,8840953.0,19603.0,451.0,8731122.0,19274.0,453.0,,-0.007743103398040296,-0.007739949320031636
2022-1-15,10149252.857142856,19675.285714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10791886.0,19586.0,551.0,10297053.0,20553.0,501.0,14433836.0,19042.0,758.0,8913382.0,19633.0,454.0,8899583.0,19733.0,451.0,8909505.0,19755.0,451.0,8799525.0,19425.0,453.0,,-0.04052614855955361,-0.04052415983949176
2021-12-15,10577935.857142856,20506.285714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",11247563.0,20413.0,551.0,10731420.0,21420.0,501.0,15044026.000000002,19847.0,758.0,9289748.0,20462.0,454.0,9275717.0,20567.0,451.0,9285639.0,20589.0,451.0,9171438.0,20246.0,453.0,,0.030850855416770795,0.03085143054119266
2021-11-15,10261364.0,19892.571428571428,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10911453.0,19803.0,551.0,10409778.0,20778.0,501.0,14593774.0,19253.0,758.0,9011446.0,19849.0,454.0,8998352.0,19952.0,451.0,9007372.0,19972.0,451.0,8897373.0,19641.0,453.0,,-0.0074941777139078125,-0.007491143914069354
2021-10-15,10338845.142857144,20042.714285714286,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10994103.0,19953.0,551.0,10487934.0,20934.0,501.0,14704441.999999998,19399.0,758.0,9079092.0,19998.0,454.0,9066453.0,20103.0,451.0,9075022.0,20122.0,451.0,8964870.0,19790.0,453.0,,0.011656414009335814,0.01165976839099514
2021-9-15,10219719.857142856,19811.714285714286,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10867924.0,19724.0,551.0,10366692.0,20692.0,501.0,14535408.0,19176.0,758.0,8974218.0,19767.0,454.0,8962272.0,19872.0,451.0,8969939.0,19889.0,451.0,8861586.0,19562.0,453.0,,0.0107907912597911,0.010794381965145927
2021-8-15,10110618.285714285,19600.14285714286,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10752214.0,19514.0,551.0,10255470.0,20470.0,501.0,14380776.0,18972.0,758.0,8877970.0,19555.0,454.0,8866660.0,19660.0,451.0,8873876.0,19676.0,451.0,8767362.0,19354.0,453.0,,-0.0012532890865406543,-0.0012520655441753403
2021-7-15,10123305.714285715,19624.714285714286,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10765989.0,19539.0,551.0,10267995.0,20495.0,501.0,14398968.000000002,18996.0,758.0,8888866.0,19579.0,454.0,8877935.0,19685.0,451.0,8884700.0,19700.0,451.0,8778687.0,19379.0,453.0,,0.0020019354776676934,0.0020058644181533136
2021-6-15,10103080.0,19585.428571428572,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10744500.0,19500.0,551.0,10246953.0,20453.0,501.0,14370921.999999998,18959.0,758.0,8870706.0,19539.0,454.0,8860346.0,19646.0,451.0,8866660.0,19660.0,451.0,8761473.0,19341.0,453.0,,-0.0044024375609951205,-0.00440074362400511
2021-5-15,10147754.857142856,19672.0,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10792437.0,19587.0,551.0,10292043.0,20543.0,501.0,14434594.0,19043.0,758.0,8909750.0,19625.0,454.0,8899583.0,19733.0,451.0,8905446.0,19746.0,451.0,8800431.0,19427.0,453.0,,0.027520988161279458,0.027526769391486017
2021-4-15,9875958.714285715,19145.0,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10503713.0,19063.0,551.0,10015992.0,19992.0,501.0,14048771.999999998,18534.0,758.0,8670492.0,19098.0,454.0,8661455.0,19205.0,451.0,8666416.0,19216.0,451.0,8564871.0,18907.0,453.0,,-0.006678724069090425,-0.00667822941682239
2021-3-15,9942361.0,19273.714285714286,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10574241.0,19191.0,551.0,10082625.0,20125.0,501.0,14143522.000000002,18659.0,758.0,8728604.0,19226.0,454.0,8720085.0,19335.0,451.0,8724595.0,19345.0,451.0,8622855.0,19035.0,453.0,,0.03026116869569906,0.030262766030560773
2021-2-15,9650330.714285715,18707.571428571428,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10264028.0,18628.0,551.0,9786534.0,19534.0,501.0,13728138.0,18111.0,758.0,8472094.0,18661.0,454.0,8463917.0,18767.0,451.0,8467976.0,18776.0,451.0,8369628.0,18476.0,453.0,,0.022611798483016754,0.022614929289300978
2021-1-15,9436944.42857143,18293.85714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10037567.0,18217.0,551.0,9569601.0,19101.0,501.0,13424938.0,17711.0,758.0,8284138.000000001,18247.0,454.0,8277203.0,18353.0,451.0,8280360.0,18360.0,451.0,8184803.999999999,18068.0,453.0,,-0.03006674253135322,-0.03006226046384808
2020-12-15,9729478.142857144,18860.85714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",10348882.0,18782.0,551.0,9865692.0,19692.0,501.0,13841838.000000002,18261.0,758.0,8540648.0,18812.0,454.0,8533822.0,18922.0,451.0,8536528.0,18928.0,451.0,8438937.0,18629.0,453.0,,,
