,lumpSum_avg,npsf_avg,final_address,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7515456.428571428,16340.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",8880445.0,17045.0,521.0,7713108.000000001,16481.0,468.0,7254493.0,16157.0,449.0,7281980.0,16364.0,445.0,7200348.0,16217.0,444.0,7114656.0,16024.0,444.0,7163165.0,16097.0,445.0,,-0.012834492599879677,-0.01283312620822985
2022-11-15,7613167.571428572,16553.14285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",8996628.0,17268.0,521.0,7812792.000000001,16694.0,468.0,7348334.0,16366.0,449.0,7376320.0,16576.0,445.0,7294032.0,16428.0,444.0,7207452.0,16233.0,444.0,7256615.0,16307.0,445.0,,-0.040858206305921074,-0.040858221309846954
2022-10-15,7937478.714285715,17258.285714285714,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",9380084.0,18004.0,521.0,8145071.999999999,17404.0,468.0,7660838.0,17062.0,449.0,7690490.0,17282.0,445.0,7604832.000000001,17128.0,444.0,7514699.999999999,16925.0,444.0,7566334.999999999,17003.0,445.0,,-0.044021678798956576,-0.04402117574443509
2022-9-15,8302990.285714285,18053.0,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",9812514.0,18834.0,521.0,8519472.0,18204.0,468.0,8012854.000000001,17846.0,449.0,8044264.999999999,18077.0,445.0,7955592.0,17918.0,444.0,7861020.0,17705.0,444.0,7915215.0,17787.0,445.0,,0.013262172274784545,0.013262025225109664
2022-8-15,8194315.857142857,17816.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",9684348.0,18588.0,521.0,8407152.0,17964.0,468.0,7907338.999999999,17611.0,449.0,7939245.0,17841.0,445.0,7851695.999999999,17684.0,444.0,7758456.0,17474.0,444.0,7811975.000000001,17555.0,445.0,,-0.050470564927544315,-0.05046975164831813
2022-7-15,8629870.285714285,18763.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10199617.0,19577.0,521.0,8853624.0,18918.0,468.0,8327154.0,18546.0,449.0,8360660.0,18788.0,445.0,8269499.999999999,18625.0,444.0,8170932.000000001,18403.0,444.0,8227605.0,18489.0,445.0,,-0.022104636311913173,-0.022104753750511796
2022-6-15,8824942.42857143,19187.85714285714,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10430420.0,20020.0,521.0,9052992.0,19344.0,468.0,8514836.0,18964.0,449.0,8549785.0,19213.0,445.0,8456424.0,19046.0,444.0,8356079.999999999,18820.0,444.0,8414060.0,18908.0,445.0,,0.020104116856624277,0.020103593887656812
2022-5-15,8651021.285714285,18809.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10224625.0,19625.0,521.0,8874684.0,18963.0,468.0,8346910.0,18590.0,449.0,8381130.0,18834.0,445.0,8289924.0,18671.0,444.0,8191356.0,18449.0,444.0,8248520.000000001,18536.0,445.0,,-0.021747072687452906,-0.021746721646420664
2022-4-15,8843338.0,19227.85714285714,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10451781.0,20061.0,521.0,9072648.0,19386.0,468.0,8533245.0,19005.0,449.0,8567585.0,19253.0,445.0,8473740.0,19085.0,444.0,8372952.000000001,18858.0,444.0,8431415.0,18947.0,445.0,,0.029549935845396114,0.02954900100969904
2022-3-15,8589518.285714285,18676.0,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10151164.0,19484.0,521.0,8812908.0,18831.0,468.0,8288988.999999999,18461.0,449.0,8321944.999999999,18701.0,445.0,8230428.0,18537.0,444.0,8132304.000000001,18316.0,444.0,8188890.0,18402.0,445.0,,-0.02538457161928631,-0.02538449495664885
2022-2-15,8813238.57142857,19162.428571428572,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10415311.0,19991.0,521.0,9043164.0,19323.0,468.0,8505407.0,18943.0,449.0,8538660.0,19188.0,445.0,8444436.0,19019.0,444.0,8344092.000000001,18793.0,444.0,8401600.0,18880.0,445.0,,-0.007737159936293425,-0.007737659321068291
