,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4684000.0,4684.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,4684000.0,4684.0,1000.0,,-0.012855637513171758,-0.012855637513171758
2022-11-15,4745000.0,4745.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,4745000.0,4745.0,1000.0,,-0.04083282797655141,-0.04083282797655141
2022-10-15,4947000.0,4947.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,4947000.0,4947.0,1000.0,,-0.044242658423493064,-0.044242658423493064
2022-9-15,5176000.0,5176.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5176000.0,5176.0,1000.0,,0.013312451057165164,0.013312451057165164
2022-8-15,5108000.0,5108.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5108000.0,5108.0,1000.0,,-0.050557620817843874,-0.050557620817843874
2022-7-15,5380000.0,5380.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5380000.0,5380.0,1000.0,,-0.022173754998182527,-0.022173754998182527
2022-6-15,5502000.0,5502.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5502000.0,5502.0,1000.0,,0.020211385128870774,0.020211385128870774
2022-5-15,5393000.0,5393.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5393000.0,5393.0,1000.0,,-0.021766733176129094,-0.021766733176129094
2022-4-15,5513000.0,5513.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5513000.0,5513.0,1000.0,,0.02969742248785945,0.02969742248785945
2022-3-15,5354000.0,5354.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5354000.0,5354.0,1000.0,,-0.02548234437568253,-0.02548234437568253
2022-2-15,5494000.0,5494.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5494000.0,5494.0,1000.0,,-0.007586705202312194,-0.007586705202312194
2022-1-15,5536000.0,5536.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5536000.0,5536.0,1000.0,,-0.040554592720970506,-0.040554592720970506
2021-12-15,5770000.0,5770.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5770000.0,5770.0,1000.0,,0.03090941575844197,0.03090941575844197
2021-11-15,5597000.0,5597.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5597000.0,5597.0,1000.0,,-0.0074481291009044215,-0.0074481291009044215
2021-10-15,5639000.0,5639.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5639000.0,5639.0,1000.0,,0.011661284535342764,0.011661284535342764
2021-9-15,5574000.0,5574.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5574000.0,5574.0,1000.0,,0.01088139281828071,0.01088139281828071
2021-8-15,5514000.0,5514.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,5514000.0,5514.0,1000.0,,,
2021-7-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2021-6-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2021-5-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2021-4-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2021-3-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2021-2-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2021-1-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-12-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-11-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-10-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-9-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-8-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-7-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-6-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-5-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-4-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-3-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-2-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2020-1-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-12-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-11-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-10-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-9-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-8-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-7-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-6-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-5-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-4-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-3-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-2-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2019-1-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
