,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,13036218.5,13082.0,2,26072437.0,26164.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13018716.0,13071.0,996.0,13053721.0,13093.0,997.0,0.00832437644427908,0.008324340989671608
2019-11-15,12928596.0,12974.0,2,25857192.0,25948.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",12912144.0,12964.0,996.0,12945048.0,12984.0,997.0,0.011263159483819729,0.011263104563700832
2019-10-15,12784601.0,12829.5,2,25569202.0,25659.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",12769716.0,12821.0,996.0,12799486.0,12838.0,997.0,-0.027662995501403498,-0.02766304141877296
2019-9-15,13148323.0,13194.5,2,26296646.0,26389.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13134252.0,13187.0,996.0,13162394.0,13202.0,997.0,-0.0250489094874915,-0.02504895259910589
2019-8-15,13486136.0,13533.5,2,26972272.0,27067.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13472891.999999998,13527.0,996.0,13499380.000000002,13540.0,997.0,-0.010564353038612029,-0.010564410001462243
2019-7-15,13630129.5,13678.0,2,27260259.0,27356.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13618308.000000002,13673.0,996.0,13641950.999999998,13683.0,997.0,0.014914333443845962,0.014914298434369755
2019-6-15,13429832.5,13477.0,2,26859665.0,26954.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13419108.0,13473.0,996.0,13440557.0,13481.0,997.0,-0.026896221064112047,-0.026896277843965533
2019-5-15,13801028.0,13849.5,2,27602056.0,27699.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13791612.000000002,13847.0,996.0,13810444.0,13852.0,997.0,0.01013825127644874,0.010138215236497494
2019-4-15,13662514.0,13710.5,2,27325028.0,27421.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13654163.999999998,13709.0,996.0,13670864.0,13712.0,997.0,0.012218586388646813,0.012218530823181917
2019-3-15,13497592.5,13545.0,2,26995185.0,27090.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13490819.999999998,13545.0,996.0,13504365.0,13545.0,997.0,0.03928493220805662,0.03928489219673148
2019-2-15,12987384.0,13033.0,2,25974768.0,26066.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",12981864.0,13034.0,996.0,12992904.0,13032.0,997.0,0.006525911172742704,0.006525852415337763
2019-1-15,12903179.0,12948.5,2,25806358.0,25897.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",12899196.0,12951.0,996.0,12907162.0,12946.0,997.0,0.010969766915272627,0.010969706433479054
2018-12-15,12763170.0,12808.0,2,25526340.0,25616.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",12760752.0,12812.0,996.0,12765588.0,12804.0,997.0,-0.0010139225323736456,-0.0010139614694641974
2018-11-15,12776124.0,12821.0,2,25552248.0,25642.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",12774696.0,12826.0,996.0,12777552.0,12816.0,997.0,-0.0719507237929593,-0.07195077813970319
2018-10-15,13766644.0,13815.0,2,27533288.0,27630.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13766712.0,13822.0,996.0,13766576.0,13808.0,997.0,0.013535879855013588,0.013535820402773124
2018-9-15,13582789.0,13630.5,2,27165578.0,27261.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13584444.0,13639.0,996.0,13581134.0,13622.0,997.0,-0.05980336689485288,-0.05980341438178993
2018-8-15,14446753.5,14497.5,2,28893507.0,28995.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",14449968.0,14508.0,996.0,14443539.0,14487.0,997.0,0.020052813893741916,0.020052770448548918
2018-7-15,14162750.5,14212.5,2,28325501.0,28425.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",14167104.000000002,14224.0,996.0,14158396.999999998,14201.0,997.0,0.011962055220176016,0.011961977998504736
2018-6-15,13995337.5,14044.5,2,27990675.0,28089.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",14001768.000000002,14058.0,996.0,13988907.0,14031.0,997.0,,
2018-5-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2018-4-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2018-3-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2018-2-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2018-1-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-12-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-11-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-10-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-9-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-8-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-7-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
