,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,39374290.333333336,25299.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",58567711.0,28117.0,2083.0,41879238.0,24306.0,1723.0,17675922.0,23474.0,753.0,,-0.001027989268838625,-0.0010266535044421987
2022-11-15,39414808.333333336,25325.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",58628118.0,28146.0,2083.0,41922313.0,24331.0,1723.0,17693994.0,23498.0,753.0,,-0.042109708438876736,-0.042110571770787364
2022-10-15,41147518.333333336,26438.333333333332,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",61204789.0,29383.0,2083.0,43765922.99999999,25401.0,1723.0,18471843.0,24531.0,753.0,,-0.018933094656500393,-0.018937238700739822
2022-9-15,41941602.666666664,26948.666666666668,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",62385849.99999999,29950.0,2083.0,44610192.99999999,25891.0,1723.0,18828765.0,25005.0,753.0,,-0.03635724546497121,-0.03635453418518153
2022-8-15,43524016.0,27965.333333333332,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",64739639.99999999,31080.0,2083.0,46293564.0,26868.0,1723.0,19538844.0,25948.0,753.0,,-0.013616025121220066,-0.013614879958614545
2022-7-15,44124820.666666664,28351.333333333332,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",65633247.0,31509.0,2083.0,46932797.0,27239.0,1723.0,19808418.0,26306.0,753.0,,-0.0067946103980994765,-0.0067962072025783415
2022-6-15,44426682.666666664,28545.333333333332,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",66081092.0,31724.0,2083.0,47254998.0,27426.0,1723.0,19943958.0,26486.0,753.0,,-0.027584097839246424,-0.027581899733151727
2022-5-15,45686915.0,29355.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",67955792.0,32624.0,2083.0,48595492.0,28204.0,1723.0,20509461.0,27237.0,753.0,,0.007107586787663767,0.00711320517365599
2022-4-15,45364483.0,29147.666666666668,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",67476702.0,32394.0,2083.0,48252615.0,28005.0,1723.0,20364132.0,27044.0,753.0,,0.01774127333279507,0.01773763661122696
2022-3-15,44573689.0,28639.666666666668,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",66299807.0,31829.0,2083.0,47411791.0,27517.0,1723.0,20009469.0,26573.0,753.0,,-0.014804652248046613,-0.01480334823988072
2022-2-15,45243503.333333336,29070.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",67295481.0,32307.0,2083.0,48125113.0,27931.0,1723.0,20309916.0,26972.0,753.0,,-0.015607983369675615,-0.015610714164775996
2022-1-15,45960859.666666664,29531.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",68361977.0,32819.0,2083.0,48888402.0,28374.0,1723.0,20632200.0,27400.0,753.0,,-0.00879422036333799,-0.008794012016245412
2021-12-15,46368635.666666664,29793.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",68968130.0,33110.0,2083.0,49322598.0,28626.0,1723.0,20815179.0,27643.0,753.0,,-0.00752069734470906,-0.007517544638891427
2021-11-15,46720002.666666664,30018.666666666668,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",69490963.0,33361.0,2083.0,49696489.0,28843.0,1723.0,20972556.0,27852.0,753.0,,0.00645770108989252,0.006459688415029419
2021-10-15,46420234.666666664,29826.0,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",69045201.0,33147.0,2083.0,49377734.0,28658.0,1723.0,20837769.0,27673.0,753.0,,-0.009251760347820825,-0.009256593662112178
2021-9-15,46853714.0,30104.666666666668,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",69688848.0,33456.0,2083.0,49839498.0,28926.0,1723.0,21032796.0,27932.0,753.0,,0.17380831698900367,0.150731359257938
2021-8-15,39915984.0,26161.333333333332,"ONTOLO(Block 1),FO YIN RD|朗濤1座,科研路",66470613.0,31911.0,2083.0,32342433.0,18771.0,1723.0,20934906.0,27802.0,753.0,,-0.05921096319939201,-0.10481502392399078
